,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount,14agree-disagree
53,1,3,0,27,0,131,5,0,135,27,0,0,0,0,0,0,0,0,1.0
54,3,0,0,57,3,304,13,6,330,57,1,0,0,0,2,2,0,0,1.0
55,14,10,2,183,6,1073,68,6,1156,183,13,6,3,3,2,1,0,0,1.0
56,7,6,0,89,6,529,35,10,582,89,0,0,0,0,5,5,0,0,-1.0
57,0,3,1,47,0,236,8,2,248,47,3,0,1,1,0,0,0,0,1.0
58,4,7,0,112,3,646,33,6,687,112,2,0,1,1,3,3,0,0,1.0
59,1,0,0,13,0,59,2,0,62,13,0,0,0,0,0,0,0,0,1.0
60,0,0,1,13,0,80,2,0,83,13,1,0,0,0,0,0,0,0,1.0
61,7,16,0,121,8,705,55,2,772,121,5,18,0,0,4,0,0,0,-1.0
62,0,0,0,8,0,41,0,0,41,8,0,0,0,0,0,0,0,0,1.0
63,5,9,3,76,28,423,30,4,489,76,1,6,1,1,0,0,0,0,
64,0,2,0,116,48,662,12,4,730,116,0,0,0,0,2,2,0,0,1.0
65,4,4,0,84,7,469,20,2,497,84,0,0,1,1,1,1,0,0,1.0
66,2,4,0,44,0,257,10,0,269,44,0,0,0,0,0,0,0,0,1.0
67,7,11,1,72,1,426,25,2,460,72,2,0,0,0,1,0,0,0,0.0
68,1,4,0,15,0,89,6,0,95,15,0,0,0,0,0,0,0,0,0.0
69,6,4,1,69,2,342,15,0,365,69,1,0,0,0,1,0,1,0,1.0
70,2,1,1,57,1,313,17,0,337,57,3,6,1,1,0,0,0,0,1.0
71,2,2,0,27,0,167,8,0,173,27,0,0,0,0,0,0,0,0,1.0
72,10,19,0,139,3,815,57,4,881,139,9,10,0,0,0,0,0,0,1.0
73,4,0,0,49,0,337,6,0,344,49,0,0,0,0,0,0,0,0,1.0
74,4,0,0,54,3,282,11,2,294,54,0,0,0,0,1,1,0,0,1.0
75,3,3,0,46,1,243,9,0,256,46,0,0,0,0,0,0,0,0,1.0
76,1,2,0,23,0,120,5,0,126,23,0,0,1,1,0,0,0,0,1.0
77,7,2,0,101,22,531,19,4,585,101,5,0,1,1,1,0,1,0,1.0
78,10,6,0,66,0,355,20,0,384,66,1,0,0,0,2,0,1,0,1.0
79,1,0,0,25,0,145,8,0,157,25,0,0,1,1,0,0,0,0,1.0
80,4,0,0,10,0,56,5,0,62,10,0,0,0,0,0,0,1,0,-1.0
81,6,16,0,127,20,772,55,4,865,127,5,14,3,3,3,0,0,0,1.0
82,8,3,1,63,0,337,17,0,357,63,1,0,1,1,0,0,1,0,1.0
83,1,0,0,14,6,70,4,0,81,14,0,0,0,0,0,0,0,0,1.0
84,3,1,0,23,0,127,7,0,136,23,1,0,0,0,0,0,0,0,0.0
85,0,0,0,42,4,189,14,0,211,42,2,10,1,1,0,0,0,0,1.0
86,3,6,0,40,3,221,22,0,246,40,1,10,1,1,0,0,0,0,
87,5,0,0,68,3,441,22,0,466,68,0,10,2,2,1,0,1,0,1.0
88,8,1,0,34,0,185,10,0,196,34,1,0,0,0,0,0,2,0,1.0
89,4,5,5,108,0,655,43,2,707,108,1,10,2,2,5,1,0,0,1.0
90,4,7,5,82,41,399,45,11,508,82,2,10,4,4,4,1,0,0,1.0
91,6,3,0,58,3,296,30,8,333,58,1,6,0,0,3,2,1,0,0.0
92,11,12,0,175,5,1360,82,13,1456,175,0,0,3,6,21,5,0,0,1.0
93,3,10,4,86,1,514,25,0,543,86,0,6,0,0,0,0,1,0,1.0
94,3,1,0,48,2,303,17,1,325,48,0,6,1,1,3,0,0,0,1.0
95,9,1,0,100,10,559,25,5,601,100,2,0,0,0,3,2,1,0,1.0
96,3,4,0,75,0,356,12,0,376,75,2,0,0,0,0,0,0,0,1.0
97,0,2,0,21,0,142,8,4,154,21,0,0,0,0,2,2,0,0,-1.0
98,5,9,1,81,0,459,21,0,484,81,2,0,1,1,0,0,1,0,
99,5,12,0,70,0,426,32,0,458,70,0,0,0,0,4,0,0,0,-1.0
100,9,4,0,95,1,588,29,6,634,95,0,0,0,0,5,2,0,0,-1.0
101,16,8,0,125,11,663,30,2,713,125,1,0,1,1,0,0,3,0,1.0
102,1,3,0,54,0,293,10,0,308,54,2,0,0,0,0,0,0,0,1.0
103,1,1,0,19,1,105,9,2,115,19,1,0,0,0,1,1,0,0,1.0
104,2,9,3,61,0,401,22,0,423,61,4,0,0,0,0,0,0,0,1.0
105,7,20,0,115,4,667,41,2,717,115,3,6,0,0,0,0,1,0,
106,8,10,0,144,57,839,35,22,981,144,3,0,0,0,6,2,0,0,1.0
107,9,2,0,42,0,198,13,8,223,42,1,0,0,0,0,0,2,0,
108,2,0,0,25,0,110,3,0,116,25,1,0,0,0,0,0,0,0,1.0
109,4,4,0,40,2,203,12,6,223,40,0,0,0,0,1,1,0,0,1.0
110,3,4,0,27,0,152,7,0,160,27,0,0,0,0,0,0,1,0,1.0
111,3,1,0,23,1,115,4,0,121,23,0,0,0,0,0,0,0,0,
112,6,3,0,110,5,620,19,0,647,110,0,0,0,0,2,0,0,0,0.0
113,3,9,0,70,134,207,15,7,392,70,0,0,1,0,1,1,0,0,1.0
114,4,0,0,49,22,215,11,0,248,49,2,0,0,0,0,0,1,0,1.0
115,5,6,0,67,1,346,14,0,368,67,9,0,0,0,0,0,0,0,1.0
116,3,6,0,78,0,429,15,0,443,78,2,0,1,1,0,0,0,0,1.0
117,14,5,0,60,1,311,24,0,343,60,5,0,0,0,1,0,2,0,1.0
118,3,5,0,57,0,291,17,2,313,57,3,0,1,1,0,0,0,0,1.0
119,0,0,0,19,0,84,0,0,84,19,0,0,0,0,0,0,0,0,1.0
120,4,7,0,73,0,400,14,2,418,73,1,0,0,0,0,0,0,0,1.0
121,0,0,0,17,0,77,2,0,78,17,1,0,0,0,0,0,0,0,1.0
122,3,6,0,68,11,325,19,4,361,68,1,0,0,0,1,1,0,0,1.0
123,12,17,0,209,0,1320,45,0,1361,209,5,0,1,1,0,0,0,0,-1.0
124,10,4,0,57,0,299,21,2,323,57,1,0,0,0,0,0,3,0,1.0
125,11,11,0,65,0,365,27,0,405,65,0,0,0,0,1,0,1,0,1.0
126,5,9,0,102,6,633,31,2,673,102,0,6,2,2,1,1,0,0,1.0
127,4,1,0,72,2,379,14,5,408,72,2,0,1,1,1,1,0,0,1.0
128,25,8,0,157,3,853,56,3,917,157,1,0,6,6,1,0,7,0,1.0
129,24,1,0,71,3,405,36,0,446,71,1,0,3,3,1,0,2,0,
130,4,9,0,123,0,783,27,0,815,123,2,0,3,3,0,0,0,0,
131,0,0,4,19,1,78,11,0,90,19,0,6,0,0,0,0,0,0,1.0
132,1,0,0,33,2,190,12,0,204,33,1,6,0,0,1,0,0,0,1.0
133,5,4,0,34,0,183,11,0,196,34,0,0,1,1,0,0,1,0,1.0
134,3,5,0,51,2,279,28,7,317,51,1,10,1,1,0,0,0,0,0.0
135,19,39,0,287,15,1859,105,14,2004,287,5,6,2,2,11,2,2,0,
136,4,3,0,46,0,262,8,0,273,46,0,0,0,0,0,0,0,0,1.0
137,7,2,3,119,11,644,55,21,736,119,5,6,5,5,8,6,1,0,1.0
138,7,2,1,94,2,522,19,0,548,94,2,0,1,1,0,0,0,0,
139,3,1,0,10,0,39,3,0,43,10,0,0,0,0,0,0,0,0,-1.0
140,2,6,0,77,5,405,14,3,430,77,1,0,0,0,1,0,0,0,1.0
141,4,2,0,50,0,311,10,0,326,50,2,0,0,0,0,0,0,0,
142,6,0,0,93,7,484,12,0,509,93,2,0,0,0,0,0,0,0,1.0
143,0,1,3,14,0,67,6,0,73,14,1,0,0,0,0,0,0,0,1.0
144,10,11,0,212,4,1368,51,9,1440,212,6,6,5,5,2,0,1,0,
145,2,7,0,37,0,229,12,0,240,37,0,0,0,0,0,0,0,0,-1.0
146,3,0,1,58,1,303,15,0,323,58,3,6,0,0,0,0,0,0,1.0
147,4,2,0,46,0,272,9,0,282,46,0,0,0,0,1,0,0,0,
148,3,9,0,71,3,473,36,6,515,71,5,6,0,0,3,3,0,0,1.0
149,3,2,0,40,0,149,10,2,163,40,0,0,0,0,1,0,0,0,1.0
150,13,3,1,25,0,134,19,0,155,25,0,0,1,1,0,0,1,0,1.0
151,6,4,0,74,0,381,17,0,406,74,8,0,0,0,0,0,0,0,1.0
152,5,5,0,56,2,277,25,2,308,56,2,6,1,1,1,1,0,0,1.0
153,4,2,0,35,0,190,8,0,200,35,2,0,0,0,0,0,1,0,1.0
154,6,5,1,87,17,488,20,0,535,87,2,0,1,1,0,0,0,0,1.0
155,5,3,0,70,2,406,16,0,429,70,2,0,0,0,1,0,0,0,1.0
156,1,0,4,6,1,43,9,2,58,6,1,0,0,0,1,1,0,0,1.0
157,10,20,1,253,3,1498,79,14,1602,253,3,6,3,3,5,2,0,0,1.0
158,13,10,0,106,5,672,37,0,724,106,6,0,0,0,0,0,0,0,-1.0
159,0,0,1,2,0,9,1,0,11,2,0,0,0,0,0,0,0,0,1.0
160,9,9,0,157,0,886,27,2,924,157,2,0,0,0,3,0,0,0,-1.0
161,6,6,0,55,3,292,15,0,315,55,2,0,0,0,0,0,1,0,0.0
162,6,9,0,102,0,567,24,0,597,102,4,0,1,1,0,0,0,0,-1.0
163,1,0,0,9,0,43,1,0,44,9,0,0,0,0,0,0,0,0,-1.0
164,1,0,1,21,0,96,3,0,102,21,1,0,0,0,0,0,0,0,1.0
165,2,1,0,36,2,176,19,0,199,36,1,10,1,1,0,0,0,0,1.0
166,19,18,0,305,21,2102,136,48,2325,305,1,6,0,0,31,19,0,0,1.0
167,14,4,0,46,1,240,24,2,269,46,1,0,1,1,1,1,3,0,1.0
168,2,0,0,13,3,58,9,2,76,13,1,0,1,1,2,1,0,0,1.0
169,1,1,0,17,0,102,3,0,107,17,0,0,0,0,0,0,0,0,0.0
170,3,0,2,24,0,91,7,5,103,24,0,0,0,0,0,0,0,0,
171,0,0,0,13,0,60,1,3,63,13,0,0,0,0,0,0,0,0,0.0
172,4,0,1,44,9,199,16,0,226,44,1,6,1,1,0,0,1,0,-1.0
173,5,3,10,30,0,143,23,0,173,30,0,0,0,0,2,0,1,0,
174,4,0,0,12,0,46,7,0,53,12,0,0,0,1,1,0,0,0,-1.0
175,4,0,0,53,1,262,6,0,275,53,2,0,0,0,0,0,0,0,1.0
176,4,1,0,40,0,181,8,2,194,40,3,0,0,0,0,0,0,0,
177,1,7,0,32,0,155,18,2,179,32,2,0,0,0,3,1,0,0,1.0
178,3,0,0,6,0,29,5,0,34,6,1,0,0,0,0,0,1,0,1.0
179,6,13,7,112,1,584,43,3,642,112,2,0,2,2,1,0,1,0,
180,4,4,0,52,2,292,16,0,312,52,3,0,0,0,2,0,0,0,
181,1,2,3,32,0,155,15,4,177,32,1,0,0,0,2,2,0,0,-1.0
182,4,2,0,69,1,358,18,4,381,69,3,0,2,2,2,1,0,0,
183,1,0,0,13,0,72,2,0,74,13,0,0,0,0,0,0,0,0,1.0
184,2,1,0,41,1,209,8,0,220,41,2,0,0,0,1,0,0,0,
185,3,1,0,50,2,262,17,2,284,50,1,6,1,1,1,1,0,0,
186,2,0,0,32,1,170,8,4,185,32,0,0,0,0,2,2,0,0,1.0
187,3,1,0,37,0,159,7,2,173,37,0,0,0,0,0,0,0,0,-1.0
188,5,5,0,119,5,696,40,10,752,119,3,0,3,3,5,5,0,0,-1.0
189,5,4,0,53,2,245,10,1,261,53,0,0,0,0,0,0,1,0,1.0
190,2,1,0,39,0,175,6,0,182,39,2,0,0,0,0,0,0,0,-1.0
191,3,0,0,38,0,228,11,0,242,38,6,0,1,1,0,0,0,0,
192,10,12,0,147,0,887,38,2,934,147,1,0,4,4,1,1,0,0,
193,13,4,0,117,1,594,22,0,630,117,3,0,0,0,1,0,1,0,1.0
194,0,1,0,13,0,87,2,0,89,13,0,0,0,0,0,0,0,0,0.0
195,2,13,10,113,2,515,35,32,593,113,1,0,2,2,2,0,0,0,
196,1,1,0,43,0,198,12,0,217,43,1,0,3,3,0,0,0,0,-1.0
197,6,1,0,67,1,393,14,0,410,67,3,0,0,0,0,0,0,0,-1.0
198,0,2,0,87,3,498,22,10,536,87,0,0,1,1,5,5,0,0,
199,4,5,0,65,1,319,19,0,341,65,0,6,1,1,0,0,0,0,
200,1,3,8,47,0,231,17,0,260,47,1,0,1,1,0,0,0,0,
201,6,7,6,71,0,340,28,11,381,71,3,0,0,0,2,0,1,0,-1.0
202,0,0,0,17,0,89,0,0,90,17,0,0,0,0,0,0,0,0,1.0
203,3,3,3,60,1,320,18,0,337,60,1,6,0,0,0,0,1,0,
204,21,6,5,87,2,419,49,13,492,87,4,0,1,1,1,1,5,0,1.0
205,9,10,0,124,2,691,47,2,756,124,15,10,3,3,1,1,0,0,1.0
206,4,5,0,82,0,436,31,2,463,82,2,6,0,0,1,1,0,0,-1.0
207,3,1,0,28,1,115,6,0,125,28,1,0,0,0,0,0,0,0,
208,10,9,0,73,0,426,27,0,459,73,11,0,0,0,1,0,2,0,
209,10,6,1,73,3,458,42,1,518,73,0,0,0,0,12,0,0,0,-1.0
210,3,3,0,32,1,169,14,0,184,32,0,6,0,0,0,0,0,0,-1.0
211,12,3,0,135,0,742,41,7,804,135,10,6,3,4,3,0,3,0,-1.0
212,12,9,0,168,16,1035,63,16,1136,168,5,0,3,3,11,8,1,0,
213,3,1,0,27,2,137,12,4,161,27,0,0,1,1,2,2,0,0,1.0
214,15,19,0,155,6,959,95,30,1099,155,4,6,8,7,10,10,2,0,
215,38,7,0,126,0,699,46,2,761,126,0,0,0,0,0,0,6,0,
216,1,1,0,15,0,76,4,0,81,15,3,0,0,0,0,0,0,0,1.0
217,12,10,5,78,2,390,37,8,445,78,2,0,1,1,2,1,2,0,1.0
218,6,10,0,115,3,668,34,4,716,115,0,6,1,1,2,2,1,0,
219,0,1,0,14,0,64,2,0,68,14,0,0,0,0,0,0,0,0,
220,8,2,0,60,0,368,17,0,391,60,0,0,1,1,1,0,2,0,-1.0
221,4,5,0,65,2,339,20,8,375,65,1,0,0,0,4,3,0,0,
222,5,3,0,84,0,469,14,0,490,84,6,0,0,0,0,0,1,0,
223,2,6,0,45,0,226,13,0,244,45,1,0,0,0,0,0,0,0,-1.0
224,1,1,0,43,1,211,6,4,224,43,3,0,0,0,0,0,0,0,0.0
225,3,3,0,31,0,141,12,0,156,31,3,0,0,0,0,0,0,0,0.0
226,1,2,0,9,0,57,3,0,61,9,0,0,0,0,0,0,0,0,1.0
227,3,1,0,17,0,91,4,0,97,17,0,0,0,0,0,0,1,0,0.0
228,5,7,0,85,2,489,27,0,521,85,4,0,0,0,3,0,0,0,-1.0
229,11,7,0,119,0,617,41,4,671,119,4,0,1,1,2,1,1,0,
230,20,10,0,184,1,1061,70,0,1149,184,29,18,3,3,0,0,1,0,-1.0
231,3,3,0,28,0,156,9,0,167,28,3,0,0,0,0,0,0,0,-1.0
232,14,2,0,125,4,685,31,9,746,125,6,0,2,2,1,1,3,0,1.0
233,4,3,0,45,0,241,18,0,260,45,2,6,1,1,0,0,1,0,
234,0,1,1,8,0,47,4,0,53,8,0,0,0,0,0,0,0,0,1.0
235,12,16,0,247,2,1465,77,5,1561,247,11,6,4,4,9,0,0,0,
236,1,3,0,13,0,73,4,0,78,13,0,0,0,0,0,0,0,0,
237,18,7,0,109,5,676,63,8,751,109,3,10,2,2,5,4,3,0,
238,2,0,0,12,0,40,4,4,50,12,0,0,0,0,1,0,0,0,-1.0
239,5,3,0,69,13,391,31,6,442,69,0,6,2,2,4,3,0,0,-1.0
240,1,1,0,27,0,142,6,0,147,27,3,0,0,0,0,0,0,0,1.0
241,2,8,0,60,0,357,20,0,377,60,0,0,1,1,2,0,0,0,1.0
242,8,7,1,78,1,369,29,17,419,78,4,0,0,0,3,0,0,0,1.0
243,7,13,0,163,6,1026,42,10,1089,163,3,0,0,0,5,5,0,0,
244,1,0,0,11,0,59,3,0,64,11,2,0,0,0,0,0,0,0,-1.0
245,23,5,12,106,3,559,63,6,637,106,5,0,2,2,4,0,5,0,-1.0
246,4,2,0,34,1,173,16,2,194,34,0,6,0,0,1,0,1,0,-1.0
247,7,1,0,13,1,74,11,2,90,13,0,0,0,0,1,1,2,0,-1.0
248,4,0,0,24,0,126,12,0,136,24,0,6,0,0,0,0,1,0,-1.0
249,4,3,0,86,0,467,16,0,487,86,1,0,2,2,1,0,0,0,-1.0
250,6,6,0,84,0,467,26,3,493,84,1,6,1,1,0,0,2,0,-1.0
251,0,2,1,12,0,59,3,0,63,12,0,0,0,0,0,0,0,0,
252,2,1,0,23,0,132,9,0,140,23,0,0,0,0,0,0,0,0,-1.0
253,0,0,0,23,0,120,6,0,126,23,1,0,1,1,1,0,0,0,
254,2,2,0,44,1,223,8,0,235,44,3,0,0,0,1,0,0,0,-1.0
255,2,5,8,54,0,286,18,0,312,54,2,0,0,0,0,0,0,0,1.0
256,4,2,0,37,0,192,11,0,200,37,0,0,0,0,0,0,1,0,-1.0
257,4,4,0,47,0,231,10,7,254,47,0,0,0,0,1,0,0,0,-1.0
258,1,1,0,24,0,155,7,0,162,24,5,0,0,0,0,0,0,0,0.0
259,1,0,0,23,0,103,4,0,106,23,2,0,0,0,0,0,0,0,1.0
260,1,5,0,33,4,219,11,0,237,33,2,0,1,1,0,0,0,0,-1.0
261,1,0,0,18,1,106,10,0,115,18,0,6,0,0,0,0,0,0,
262,6,0,0,30,0,137,7,0,147,30,1,0,0,0,0,0,1,0,-1.0
263,6,1,0,49,0,260,10,0,274,49,0,0,0,0,0,0,1,0,1.0
264,2,1,0,36,1,160,11,0,175,36,3,0,0,0,1,0,0,0,
265,27,2,0,132,2,701,42,2,758,132,6,0,2,4,0,0,4,0,-1.0
266,5,2,3,73,11,429,48,12,502,73,2,6,2,2,11,6,0,0,-1.0
267,5,2,3,73,11,429,48,12,502,73,2,6,2,2,11,6,0,0,-1.0
268,5,2,3,73,11,429,48,12,502,73,2,6,2,2,11,6,0,0,-1.0
269,3,5,0,45,2,253,18,5,278,45,1,0,0,0,2,2,0,0,1.0
270,4,1,1,24,0,103,10,5,123,24,1,0,0,0,0,0,1,0,1.0
271,5,2,3,73,11,429,48,12,502,73,2,6,2,2,11,6,0,0,-1.0
272,4,7,0,65,1,343,26,0,373,65,2,6,1,1,0,0,0,0,
273,1,1,0,32,0,176,4,2,184,32,0,0,1,1,0,0,0,0,
274,3,1,1,26,0,127,7,0,133,26,0,0,0,0,0,0,1,0,1.0
275,0,2,0,25,0,114,5,0,120,25,0,0,0,0,0,0,0,0,-1.0
276,3,2,0,71,0,354,9,0,368,71,0,0,1,1,0,0,0,0,-1.0
277,4,1,0,38,0,171,9,5,183,38,1,0,0,0,0,0,1,0,
278,4,0,0,17,0,63,4,4,72,17,0,0,0,0,0,0,1,0,-1.0
279,5,0,0,6,0,34,5,0,39,6,0,0,0,0,0,0,1,0,-1.0
280,8,3,0,22,4,85,12,0,101,22,0,0,0,0,0,0,2,0,-1.0
281,4,4,1,77,1,440,19,3,461,77,0,0,1,1,1,1,1,0,-1.0
282,0,8,0,71,0,359,11,3,374,71,2,0,0,0,0,0,0,0,-1.0
283,6,7,1,114,1,643,29,0,677,114,2,6,0,0,0,0,0,0,1.0
284,24,2,18,81,3,399,55,5,468,81,1,0,0,0,3,1,5,0,
285,6,0,2,57,0,297,19,0,314,57,1,0,2,2,0,0,1,0,
286,11,8,0,85,1,451,36,2,498,85,2,10,0,0,0,0,1,0,1.0
287,3,0,0,13,0,55,4,2,63,13,0,0,0,0,0,0,1,0,
288,13,3,9,46,1,154,30,14,207,46,0,0,0,0,3,0,3,0,0.0
289,8,4,0,81,1,417,23,6,451,81,1,0,0,1,2,1,1,0,-1.0
290,2,0,0,29,1,143,7,0,151,29,0,0,1,1,1,0,0,0,-1.0
291,4,6,0,40,0,207,14,0,221,40,0,0,0,0,0,0,1,0,1.0
292,3,1,3,48,2,222,14,0,237,48,3,0,0,0,0,0,1,0,
293,3,4,0,51,1,215,18,10,248,51,2,0,0,0,2,2,0,0,-1.0
294,2,1,0,26,0,123,3,0,128,26,0,0,0,0,0,0,0,0,
295,8,15,1,147,7,882,54,13,974,147,8,6,3,3,2,2,1,0,1.0
296,15,1,1,80,16,447,24,1,496,80,2,0,1,1,1,0,3,0,
297,0,5,0,69,0,394,16,6,414,69,0,0,0,0,3,3,0,0,1.0
298,2,4,0,141,10,739,65,22,840,141,9,6,1,1,9,7,0,0,
299,7,3,0,24,1,150,14,2,168,24,0,0,0,0,1,1,1,0,
300,3,3,0,42,0,215,10,0,232,42,1,0,0,0,0,0,0,0,
301,8,13,0,100,6,521,52,11,597,100,5,14,2,2,1,1,2,0,
302,1,1,0,29,0,133,6,0,137,29,1,0,0,0,0,0,0,0,1.0
303,10,4,0,66,0,350,15,1,370,66,0,0,0,0,0,0,2,0,1.0
304,20,1,4,49,2,235,36,12,287,49,1,0,0,0,2,0,4,0,-1.0
305,2,5,1,67,0,335,12,3,352,67,0,0,0,0,0,0,0,0,1.0
306,3,7,0,102,0,559,27,13,602,102,10,0,1,1,0,0,0,0,1.0
307,7,4,0,65,0,355,19,0,374,65,1,0,2,2,1,0,2,0,-1.0
308,4,3,0,100,2,468,35,8,511,100,6,0,6,6,6,0,1,0,
309,11,3,2,74,2,342,31,9,387,74,1,10,2,2,1,1,2,0,-1.0
310,4,5,2,82,1,386,18,0,409,82,0,0,2,2,0,0,1,0,-1.0
311,4,0,0,33,1,163,7,0,174,33,1,0,1,1,0,0,1,0,1.0
312,7,4,0,57,2,243,21,0,266,57,2,6,0,0,0,0,2,0,
313,1,1,1,23,0,108,4,0,115,23,0,0,0,0,0,0,0,0,
314,18,3,1,98,0,457,34,10,509,98,1,0,0,4,1,0,3,0,
315,9,6,0,86,2,454,29,1,490,86,2,6,0,0,0,0,2,0,
316,2,8,0,68,1,379,20,2,403,68,2,0,0,0,1,1,0,0,1.0
317,1,1,0,21,0,112,7,0,121,21,2,0,0,0,0,0,0,0,1.0
318,4,0,0,15,0,70,8,0,78,15,0,0,0,0,1,0,1,0,
319,4,13,0,106,3,550,27,10,595,106,2,0,1,1,1,0,0,0,1.0
320,3,3,0,54,1,316,16,2,336,54,2,0,0,0,3,1,0,0,
321,1,0,0,20,0,94,2,0,96,20,0,0,0,0,0,0,0,0,-1.0
322,5,4,0,75,3,428,23,8,467,75,3,0,0,0,4,4,0,0,
323,22,8,0,113,2,546,51,2,604,113,4,0,2,5,1,1,6,0,-1.0
324,4,7,0,78,0,417,18,0,435,78,2,0,0,0,0,0,0,0,
325,0,0,0,9,1,36,11,0,46,9,1,6,0,0,0,0,0,0,-1.0
326,5,2,0,63,0,318,12,0,334,63,1,0,1,1,0,0,0,0,-1.0
327,0,5,0,17,4,97,6,0,110,17,1,0,0,0,0,0,0,0,-1.0
328,5,7,0,78,5,439,32,6,481,78,2,6,0,0,3,3,0,0,
329,4,5,0,70,0,371,16,0,393,70,1,0,1,1,0,0,0,0,
