,id,text,botornot
11374,303414800,"""RT @gaurangmorjaria: Wow!! Chants of O Jeremy Corbyn during Radio Head gig at Glastonbury Festival! #Glastonbury @radiohead #forthemany h…""",1
2351,1452842384,"""RT @GeorgeAylett: Spot on from Sam Wheeler - there are no no-go areas for Labour. Lets knock on as many doors as possible across the cou…""",1
5226,21195986,"""RT @chunkymark: Oh Jeremy Corbyn Seven Nation Army Radiohead at Glastonbury inspiring a Nation never witnessed before https://t.co/8lwQaL…""",1
26410,9570042,"""RT @scarletmonahan: Theresa May.. my overwhelming victory . https://t.co/Rrw0TVeFfD #Torycoalition 31""",1
22870,841832421939122177,"""RT @de_generated: Theres yer @OwenJones84 fighting the Tories all the way.  https://t.co/pPAsC2zpaB""",1
2538,146422118,"""RT @AngrySalmond: Jeremy Corbyn is main event material.\n\nTheresa May isnt fit to open the show. \n\n#Glastonbury2017 https://t.co/Ri0pvVQhD0""",1
5874,22520029,"""RT @EL4JC: Build bridges not walls The best of Jeremy Corbyns #Glastonbury set, part 1. https://t.co/JUD1WqSa2K""",1
7837,2547505012,"""RT @jedclef: That Jeremy Corbyn chant has made it round the whole of Glastonbury https://t.co/gmx87fiDQs Couldnt Make It Up #JoinLabourNow…""",1
15126,420326282,"""RT @demindblower: Tories Embroiled in New Election Law Breach Scandal - something smells fishy https://t.co/gSZXDG9jOs via… """,1
16336,4862582645,"""RT @HackneyAbbott: The #QueensSpeech showed only @jeremycorbyns Labour has a programme for a better Britain.\nHit RT if youre with us↓\nhtt…""",1
2112,144299276,"""RT @Independent: Labour will extend £10 an hour living wage to 16-year-olds  https://t.co/EJxoE1hjnd""",1
26356,89780120,"""when you want to #Dance  to the #FooFighters   and your on a mission to TWEET  #Labour MPs   AGHHHH @Orangeade0701  @OhStevenCarne""",1
7221,248777189,"""RT @keesfiere485: Their private reaction, briefed out by aides later, was: Why are we even talking about families splitting up? Is th… """,1
18763,718933489173807104,"""RT @chunkymark: Oh Jeremy Corbyn Seven Nation Army Radiohead at Glastonbury inspiring a Nation never witnessed before https://t.co/8lwQaL…""",1
9388,27839828,"""RT @RedHotSquirrel: Campaign underway to persuade Jacob Rees-Mogg MP to stand for the Leadership of the Conservative Party. https://t.co/LE…""",1
22008,806961338899689472,"""RT @JamesMelville: Theresa May spent 50 minutes schmoozing Tory donors at the Savoy after spending only 15 minutes at Grenfell Tower.\nhttps…""",1
18875,723251650174017536,"""RT @Snowden: Turns out this season of Games of Thrones opens with the Conservative Party immediately bending the knee to the Ulstermen. #GE…""",1
25736,877038913176645632,"""@DeanWhittington What are your views on #GE2017? Please answer our survey https://t.co/ah1eoIg3Mi""",1
4657,20227038,"""RT @mac123_m: Wonder why Glastonbury crowd are singing Jeremy Corbyns name.................? https://t.co/wZO17xazvU""",1
2054,144299276,"""Benefits freeze set to continue despite rising inflation, says Welfare and Pensions Secretary https://t.co/P4gg3ssyL8 more lies""",1
21859,79769567,"""RT @OpenLabour: We need to be a part of a solution to get into power, our politics in Open Labour must be at the centre of it - @alexso…""",1
26215,89780120,"""Labour meeting on 26/6, please support the NHS Reinstatement Bill as a Priority Private Members Bill.  https://t.co/vZX1L8BCsk @JWoodcockMP""",1
17480,578340153,"""RT @EL4JC: It just gets bigger.... Oh, Jeremy Corbyn!! @Stormzy1 conducts the crowd at #Glastonbury https://t.co/6JVo5XQKxP""",1
16263,4843970686,"""RT @DerbyChrisW: The Jeremy Corbyn phenomenon continues to gather pace. \nHelp get him into Downing Street by joining Labour today.  https:/…""",1
13553,337291312,"""RT @theNewsfox: BBC bossses on seeing oh Jeremy Corbyn going out on prime time. #Glastonbury https://t.co/uhutXrTxQY""",1
2224,144558954,"""RT @SocialistVoice: Jeremy Corbyns Glastonbury performance left the crowd wanting more https://t.co/3UJXQRT5t7""",1
25138,875493184180293632,"""Councillors obeying law on fire safety. But should have been better planned. #Tory cuts behind lack of preparation… https://t.co/trZ1frJltu""",1
15986,466943933,"""RT @frankobserver: If #BBC @bbcnews is refusing to show Jeremy Corbyn at #Glastonbury, its up to twitter &amp; social media to do the job… """,1
23315,848583736727920645,"""RT @LFMmag: A pause in Radioheads headline Glastonbury set transcends into chants of oh Jeremy Corbyn. \n\nSolidarity ✊🙌\n\n https://t.co/VT…""",1
15854,4631281523,"""RT @chunkymark: Oh Jeremy Corbyn Seven Nation Army Radiohead at Glastonbury inspiring a Nation never witnessed before https://t.co/8lwQaL…""",1
21966,798516085796536321,"""RT @SaorAlba59: Brexit, one year on: How Theresa May fatally ignored the lessons of the Leave campaign’s victory https://t.co/KznF85XBr8 vi…""",1
1166,1287447402,"""RT @Corbyn_Power: @jeremycorbyn Jeremy Corbyn speaking at #Glastonbury2017 - Build bridges not walls #Glastonbury\nhttps://t.co/YqmGblDlAq""",1
17631,59549064,"""RT @Michael_PLawson: Yes please #Remain #eu #greens #labour #libdems @Keir_Starmer @vincecable @acgrayling @JolyonMaugham @DavidLammy https…""",1
2902,150573390,"""RT @CathyMcRorie: @OwenJones84 Supporters of SNP during election, tweeted Support Corbyn in Eng &amp; SNP in Scot. While SLab were tweeti… """,1
8471,2672644953,"""RT @PeoplesMomentum: Labour party events are looking a little more fun nowadays https://t.co/l3nA3cwWlN""",1
7039,245532240,"""RT @jillychapman: As a nurse, if Theresa May pays the DUP £2 billion I will be outraged. She told us there is no money tree!""",1
11456,303827284,"""RT @paulmasonnews: During #Progressgate I mentioned the first Labour-Communist MP Shapurji Saklatvala - elected in 1922 - some mystifi… """,1
5116,210163237,"""RT @fbunational: When politicians treat public servants and our services with respect their poll ratings seem to go up... https://t.co/NJ1v…""",1
19205,726099958013792257,"""RT @AngelaRayner: Tory ministers in abrupt U-turn over fire safety in schools. We raised this last August....\nhttps://t.co/T7FXB7aoOw""",1
12857,3263253388,"""RT @thepileus: This is actually quite big. The main funder behind the Labour-Right has given up trying to influence the Labour par… """,1
19184,726099958013792257,"""RT @andylines: Distraught woman resident tells Jeremy Corbyn: Theresa May was here but she didnt speak to any of us.  She was s**t.""",1
8006,2571164752,"""RT @LegendReturnsss: @SkyNewsBreak just as jeremy corbyn is at glastonbury\n\nhmmm i smell bullshit 👍""",1
9353,2780615188,"""RT @chunkymark: Theresa May heckled with shame on you after armed forces day parade https://t.co/wKvGEYdI5J""",1
12969,328484372,"""#Ukip 🇬🇧 \n\n#Labour #Corbyn #ArmedForcesDay  \n\n@jeremycorbyn prefers to mix with unwashed rather than honour forces.… https://t.co/8iA8cwltc2""",1
6558,2392144432,"""RT @kenmckelvey224: Do the People of thee UK know what Damage this Tory Government is doing to our NHS the Silence by the Tory Media &amp;… """,1
25126,875493184180293632,"""RT @MmedeBeauvoir: @ThatTimWalker Honesty isnt a strong point amongst the current shower of Tories.""",1
11810,310535567,"""RT @roridonaghy: As Radiohead plays #Glastonbury2017 the huge crowd chants: Oh, Jeremy Corbyn. *Spine-tingling* https://t.co/MfuKzyNxdO""",1
13928,345408839,"""RT @zebra_crispy: Never forget the reason the Tories are acting now is because of their lax H&amp;S regulations in the first place.… """,1
92,101056236,"""New favourite overtakes #BorisJohnson in Tory leadership stakes #Corbyn4PM https://t.co/7y1kjsfBK8""",1
20483,749148084534407169,"""RT @jillychapman: As a nurse, if Theresa May pays the DUP £2 billion I will be outraged. She told us there is no money tree!""",1
6990,2450064166,"""RT @RichardJMurphy: Whats amazing about Theresa May is she ran a dire campaign and has been appalling since but she then goes to the EU an…""",1
14742,390150468,"""RT @mac123_m: Tory ideological austerity MUST end. \nAusterity kills. \nEnough is enough. https://t.co/dS12bShABP""",1
17831,611786981,"""RT @Helenhs: This London taxi driver goes on an amazing rant against the Tories and in support of Jeremy Corbyn, whom he calls a… """,1
15055,414989540,"""RT @Rachael_Swindon: This is the moment things changed. This young lad just destroyed Andrea Leadsom and an absent Theresa May. https://t.c…""",1
15993,466943933,"""RT @MirrorPolitics: Cruel Tory benefit cap dealt landmark High Court defeat as judge warns it causes real misery to no good purpose… """,1
7110,2461068743,"""@MattTurner4L STAND UP AND BE HEARD! #ToriesOut #DayOfRage #Justice4Grenfell \nANTI #TORY #DEMONSTRATION 1 #JULY… https://t.co/vNFtjTEzWp""",1
11487,303827284,"""We have moved on a bit since then. Well, most of us have; you are obviously an exception. https://t.co/0YQqXJIakr""",1
4600,20004497,"""RT @AJohnColes: Unless youve had to fight for something you never really appreciate it. Thats why Tories are keen to sell off the things…""",1
10749,294075128,"""RT @peteriwanoff: @Rachael_Swindon When  he refused to abstain the Welfare Bill and voted against it, Corbyn was the man to lead Labo… """,1
19838,739118222,"""RT @andrewhj: @alexmassie @Bonn1eGreer Theresa Mays only current merit is that she saved us from Andrea Leadsom.""",1
4257,1964735263,"""RT @mac123_m: Wonder why Glastonbury crowd are singing Jeremy Corbyns name.................? https://t.co/wZO17xazvU""",1
13851,3422058208,"""RT @Lance_Chadwick: Oh Jeremy Corbyn  #Glastonbury2017\nhttps://t.co/cEkQPNucLl""",1
22486,823596686626979841,"""RT @imajsaclaimant: Build bridges, not walls The pyramid stage is full for Jeremy Corbyn who doesnt disappoint #Glastonbury... chang… """,1
9292,2775981424,"""RT @blair_janey: @PeteWishart @JamesKelly @OwenJones84 Its really sad that SNP were promoting a progressive alliance south of border… """,1
19882,740521037922734080,"""@RobDotHutton @rofden159 😂😂😂 clueless then, clueless now, forever clueless - what got into the heads of 17m idiots… https://t.co/8v8zpcDLDE""",1
25655,876348129838338048,"""@MGreenwoodWW @James4Labour @jeremycorbyn @UKLabour Im so pleased to say Im a proud labour member..JOIN &amp; LETS GE… https://t.co/HTIXvG0adB""",1
7572,251762257,"""RT @HackneyAbbott: RT if you agree - the details of any agreement with the latest DUP must be made public. https://t.co/xBa7O5wlGT""",1
5901,22520029,"""RT @RajiRags: Jeremy Corbyn getting the train up to Glastonbury like a normal guy... when the fuck can we get this man to be our… """,1
21398,780840449963532288,"""Meish52: #StopBrexit Ha ha ha,Tories are in power and were not in a mess? https://t.co/ONVKjltsKM""",1
14043,347810094,"""RT @WullieFaePlean: @donaldstavert @steve2theizzO @kezdugdale @AngrySalmond And your party celebrated when Torys took SNP seats. Says… """,1
22470,823596686626979841,"""RT @Corbyn_Power: @jeremycorbyn Jeremy Corbyn speaking at #Glastonbury2017 - Build bridges not walls #Glastonbury\nhttps://t.co/YqmGblDlAq""",1
17336,55602088,"""RT @chunkymark: F**k!! \nAstonishing shows up Tory property speculating culture of property banking this is the housing bubble https://t.co/…""",1
6661,241502713,"""RT @JamesGarry7: Tory Britain - Just shut up and do what you are told by your betters https://t.co/IZ2fvXqFRN""",1
16416,489315806,"""RT @MichaelRosenYes: Right wing agenda of the moment: Talk of Labours proposals on provision and fairness as bribery, unlike e.g. tax br…""",1
10886,2962332694,"""RT @Scots_Graeme: @egracieb @SaorAlba59 It also implies military may back the Tories, which could seem like veiled threat to us pesky Indy…""",1
20746,757497355721699328,"""RT @ToonTomm: Tell me something special isnt going on in this country. Jeremy Corbyn, my hero my mate https://t.co/BTL84oWj9h""",1
9330,2775981424,"""RT @Johnvoteyes: They have proved they have the competence to cause a disaster https://t.co/xc9pyMTPBn""",1
5681,2220840868,"""RT @HackneyAbbott: RT if you agree - the details of any agreement with the latest DUP must be made public. https://t.co/xBa7O5wlGT""",1
14121,347810094,"""RT @dicconspain: @StephenWFLabour @chunkymark Labour is all about building a country together that empowers all of us to fulfill our… """,1
12513,325225209,"""RT @BolsoverBeast: Youve got to admit Theresa May has brought the country together.\n\nHer party doesnt like her, Labour doesnt like… """,1
21550,78586449,"""RT @zebra_crispy: Never forget the reason the Tories are acting now is because of their lax H&amp;S regulations in the first place.… """,1
11343,303414800,"""RT @skwawkbox: Exclusive: #BlueTelecoms texts map increasing Tory #GE17\xa0desperation https://t.co/5yMfnIKnIi https://t.co/yqybvjmd2m""",1
2175,1444368715,"""RT @chris_coltrane: I know of six Tories at Glastonbury, so it brings me great delight to hear that entire crowds are cheering Jeremy C… """,1
11926,3124440627,"""RT @BBUKMIKE: Whos stupid idea was it to make Theresa May go to Liverpool the most labour city in the country on armed forces day. https://…""",1
24698,873465869350862850,"""RT @garrodt: Everybody is saying that so whos lying &amp; why ? Theyre afraid of more riots when truth is out ? https://t.co/yKuM01PRcL""",1
25915,877043567532834816,"""@k_willzzz Calling tweeters on #GE2017. You mind doing our survey at https://t.co/Hs2S0YYfJY""",1
12763,325688284,"""RT @DiligentTruth: @SocialistVoice And Corbyn was greeted by 200,000 chanting 🎵🎵🎵Oh Jeremy Corbyn, Oh Jeremy Corbyn🎵🎵🎵 at Glastonbury… """,1
9189,2743684155,"""RT @vivahate72: Funnily enough the BBC didnt show you this angle of Jeremy Corbyn speaking to the huge crowd at #glastonbury. https://t.co…""",1
9153,2743684155,"""RT @ShellyAsquith: Some blokes in the bar I am in near Tottenham Court Road just started chanting oh, Jeremy Corbyn\n\nIts infectious!""",1
25151,875493184180293632,"""#Zombie #Tory govt is spot on. Why is it so hard to be rid of this dead wood so life can return to #UK. Stop… https://t.co/oEr2AQ7DRj""",1
15960,466943933,"""RT @Scotpol1314: If you dont think this was part of the Tory /DUP Dirty Deal I have some Magic Beans going cheap\n\nhttps://t.co/slz5bt34wQ""",1
18304,69654985,"""RT @vivahate72: Funnily enough the BBC didnt show you this angle of Jeremy Corbyn speaking to the huge crowd at #glastonbury. https://t.co…""",1
8854,272503369,"""RT @IanTheMckenna: @OwenJones84 Jeremy Corbyn arrives at Glastonbury to chants of Ohhhhh Jeremy Corbyn! https://t.co/n0Ik3EHdOx""",1
25674,876411310606622720,"""RT @MomentumOx: #Grenfell fire: Theresa #May attacked by fire safety expert for not treating disaster as national emergency… """,1
21959,798516085796536321,"""RT @JumMurphy: Labour MPs to back Nicky Morgan for committee chair in order to stop Brexiteer Jacob Rees-Mogg https://t.co/gEjw8rize6""",1
24385,870564538009169922,"""RT @AngelaRayner: Torieswe need to be patriotic on Brexit talks,protecting young,elderly,sick,poor,homeless,disabled,working families&amp;wor…""",1
2623,1468292268,"""RT @dorset_eye: Can U hear the out of touch #Tories tutting from where U are?\nThis is how it should be. With us not dictating from… """,1
24768,873900396959477761,"""RT @daverussell: Tory MP worth £110 million describes himself a working class hero. \n - indy100 https://t.co/PlTluwN0PE via @nuzzel  A clas…""",1
4410,20004497,"""RT @PeoplesMomentum: Want to learn Ohhh Jeremy Corbyn in sign language? 👇🏾 https://t.co/FrKaeKBt2C""",1
11422,303827284,"""Unfuckingbelievable nonsense from the Express, who got a tory MP, a tory MP, to set this up, knowing where Corbyn w… https://t.co/Mf5V3kbjDj""",1
1906,141229257,"""As UK enters armed forces day which Tories will try to exploit ...keep this at back of your mind  https://t.co/Ujka78LkPm""",1
4922,20974816,"""RT @EL4JC: None of our freedoms were handed down to us by those in power  The best of Jeremy Corbyns #Glastonbury set, part… """,1
12155,3231068674,"""RT @Corbyn_Power: @jeremycorbyn @WorkersBeerCo Jeremy Corbyn walking at #Glastonbury2017 to cheers.\n#Glastonbury\nhttps://t.co/OvhF1Xm6Xd""",1
21644,790606437529612288,"""RT @vivahate72: Funnily enough the BBC didnt show you this angle of Jeremy Corbyn speaking to the huge crowd at #glastonbury. https://t.co…""",1
3662,178730312,"""RT @Injury_Claims_: Tory papers, MSM, along with deliberate policies, designed to manipulate you. They started years before #Brexit to ensu…""",1
22767,835975173660631042,"""RT @AndreaSilva270: Radiohead Absolutely Amazing Again on the Pyramid Stage &amp; the Crowd Oh Jeremy Corbyn. Fookin Brilliant. #Glastonbury2…""",1
20415,747894662241849345,"""@SamanthaPippin7 @Kotaatok Its a free country isnt it? Theresa May is free to try it too you know""",1
26086,877122281658601472,"""@qbbaqucar1098 What are your views on #GE2017? Please answer our survey https://t.co/cLHm819UaF""",1
345,1108577893,"""RT @MikeInBrixton: The station is the one that wouldve responded to fire at blocks Camden has just emptied. Profit trumps lives again http…""",1
4619,20004497,"""RT @Captain_Vad: 🎼Oh! Jeremy Corbyn! Oh! Jeremy Corbyn! 🎶 \n\nEnjoy Glastonbury today Mr Corbyn. 🌹JC4PM🌹 https://t.co/QhACkitgFq""",1
11850,3124440627,"""RT @lunaperla: @drjanaway May:-\nhid from public in #GE2017\navoided #GrenfellTower victims\nemotionally torturing 3.3m EUcitizens &amp;… """,1
4291,198152252,"""@Raywoolford Youre right Thatcher began, Blair shd have rolled back but it has really accelerated under Coalition… https://t.co/k8loaDT8rO""",1
16921,531484910,"""@NeilD42 @neiljmcevoy Do you support the tories?""",1
26195,89780120,"""Labour meeting on 26/6, please support the NHS Reinstatement Bill as a Priority Private Members Bill.  https://t.co/vZX1L8BCsk @LucyMPowell""",1
10065,2840378924,"""Tory election call centre may have broken the law. https://t.co/zHD7tbpyCE""",1
4305,198152252,"""@JolyonMaugham @DrNostromo Youd thought any Tory MP with links to Chelsea wld have their hands full helping… https://t.co/TPgjEiFk32""",1
20612,749710462661562368,"""RT @Rachael_Swindon: Hi @BBC Will you be showing Jeremy Corbyn speaking at #Glastonbury today or is a repeat of Pebble Mill be deemed more…""",1
24123,860502653675110400,"""RT @Independent: Read Jeremy Corbyns Glastonbury speech in full https://t.co/k3tWhfpXAf""",1
15132,420326282,"""RT @JeremyCorbyn4PM: We agree with @Stormzy1 \n\nRT if you do too! https://t.co/RqxvPZTg4B""",1
17185,54999242,"""RT @DavidWa64217266: @mojos55 @Shambles151 What a bloody hypocrite, especially considering that she and the damned Tory party have recen… """,1
10894,2962332694,"""RT @OrkneyBear: Apparently old sea dogs are incapable of learning new tricks? https://t.co/fsCqrTgWea""",1
8319,2602051168,"""RT @GAPonsonby: Months from now the media will run stories attacking the Scottish Govt over teacher numbers. Mark my words. https://t.co/n5…""",1
7614,2519858199,"""RT @yatesyman: @vivahate72 Yeah, they just ran empty crowd shots like this, the lying Tory establishment cover-up bastards https://t.co/hjL…""",1
17973,636188854,"""RT @Antonineone1: Change isnt coming..............change is already here. https://t.co/z9LJ7vnQDz""",1
4833,20754491,"""RT @NotTheToryPress: This isnt a joke.\nI swear to you I didnt make this up.\nThe Tory media is now embarrassingly desperate.\n#JC4PM https:…""",1
1828,1389178064,"""RT @mossiewee: Dreadful woman that Leadson🐍 https://t.co/CEI665fLF3""",1
11654,310535567,"""RT @OwenJones84: The myth Corbynism represents middle-class young hipsters needs binning. Young working-class support Labour the most https…""",1
7090,2457769929,"""Moral of Warsi: Tories cant cope with Muslims \n#islamophobia UK @Ali_8k \nhttps://t.co/G8hK2CrMQ9""",1
10788,294075128,"""RT @DerbyChrisW: Just heard @BBCRadio4 news claim that Jeremy Corbyn was greeted with some boos and cheers at Glastonbury  https://t.co/rTA…""",1
6588,241502713,"""RT @delpinoevents: Jeremy Corbyn just gave a rousing speech at Glastonbury https://t.co/lrqu21SfDM""",1
10411,2912926151,"""@mrmarksteel @WarmongerHodges 🎶 Oh #TheresaMaysWeapon Oh #TheresaMaysWeapon 🎶 https://t.co/1KpUHGe7j9 🍆🍆🍆🔪""",1
9024,2728197467,"""RT @MarcherLord1: All Labour run authorities too. Which is awkward https://t.co/CWVgi0dO5o""",1
17271,552247360,"""RT @Keir_Starmer: PM should give clear answer: did she single-handedly block unilateral guarantee of rights to EU citizens last year? https…""",1
12152,3231068674,"""RT @DavidLammy: Tories warned us about a coalition of chaos propped up by terrorist sympathisers. They just didnt tell us it would be…""",1
7404,2491232172,"""RT @Empcs: My sons say #OhJeremyCorbyn is being sung at end of nights out, in clubs &amp; on streets of Lancashire.\nHope is a wond… """,1
20660,754259122036637696,"""RT @AaronBastani: Fake news on @BBCRadio4 - they know its utterly ridiculous to say but....balance! Even if its in your head! https://t.c…""",1
1698,138597964,"""RT @guardianmusic: See ya later Theresa May. Shut the door on your way out - Thom Yorke in between tracks during Radioheads #Glastonbury…""",1
19623,734112761639276544,"""RT @AntiZionist247: Following this week’s Queen’s Speech, as Theresa May still seeks to make an unholy alliance with the DUP to... https://…""",1
19527,728021521,"""RT @BermudaBat: @misszing @lettheirbejust how many tabs, tokes or beers have the lefties had at #Glastonbury2017 why is he not in… """,1
21995,798516085796536321,"""RT @kurt_obruny: If May prevails EU citizenship is cancelled both for EU citizens resident in the UK and ALL UK citizens. https://t.co/iA8E…""",1
14778,390150468,"""RT @SocialistVoice: Theresa May is booed and heckled with shouts of shame on you during Armed Forces Day parade in Liverpool https://t.co…""",1
10555,292619181,"""#TheresaMay.. Just because https://t.co/mDr6UFTP60 #hungparliament #tory #goawaymay #Coalition #DUP 182""",1
23699,854293892547710976,"""#GE2017 Jo Cox honoured with coat of arms in Parliament https://t.co/2ZumFzKfIj""",1
17476,578340153,"""RT @Dxpth: Nahhh Im dead Theresa may get heckled out the ends 😂 https://t.co/Nuki7xKYZA""",1
11642,310535567,"""RT @PoliticsPollsGE: A re- run was requested \n\nIf there was another election this year , would you vote the same way again? \n\n#GE2017 #ther…""",1
4714,202277509,"""RT @heckmonwyke: Labour aint they 🌹🖕 https://t.co/enxfLa52o3""",1
18068,6664162,"""RT @HerseyJane: @wilde @JoyMillward Plus insults, lies, and smears. The only things they were good at. If theyd  only have put the… """,1
1167,1287447402,"""RT @UKLabour: Unlike the Tories, a Labour government will put jobs, education &amp; our NHS first. With us? Share our plan ↓… """,1
15205,421316319,"""RT @stuart_douglas: @OwenJones84 @PeteWishart Politics based on constitutional issue is polarising the electorate. Labour were party to… """,1
15311,4264297743,"""RT @SocialistVoice: Theresa May is booed and heckled with shouts of shame on you during Armed Forces Day parade in Liverpool https://t.co…""",1
15444,4384207354,"""RT @TheAuracl3: How useless are you when a made-up-for-a-laugh character resonates more with the electorate than the actual Prime b… """,1
9091,2734460614,"""@marcuschown Private landlords I.E.Tory MPs &amp;associates are exempt from legal requirement 2take action which prevents tenants burning 2death""",1
19749,734112761639276544,"""RT @wendyj08: What do we expect from BBC. Therell probably be live streaming somewhere though. I still like idea that Corbyns… """,1
11855,3124440627,"""RT @HylandAlan: @drjanaway @otivar55 Jeremy Corbyn genuine hope for everyone, one of the few politicians Ive met that seems to actually ca…""",1
18117,6664162,"""RT @tigerfish4: @HarrietHarman @UKLabour They openly campaigned against an elected Labour leader.Where is their mandate for this?""",1
23563,854084976870084608,"""RT @AlexFinnis: Impressive that Jeremy Corbyn, at 68, is still able to juggle two jobs as both the Prime Minister and the worlds biggest r…""",1
8893,272503369,"""On top of that, she gets booed all over the shop. The people love Jezza. Therefore Jeremy Corbyn is the Peoples PM https://t.co/1J5kDh8bQJ""",1
759,1166154594,"""RT @EL4JC: It just gets bigger.... Oh, Jeremy Corbyn!! @Stormzy1 conducts the crowd at #Glastonbury https://t.co/6JVo5XQKxP""",1
16941,531484910,"""Tory arrogance.Seriously flawed. https://t.co/kGoIxtmXMf""",1
16069,4764237802,"""RT @Corbyn_Power: @jeremycorbyn Incredible scenes outside Unisons national conference in Brighton as Jeremy corbyn addresses hundreds\nhttp…""",1
18716,713285621,"""RT @AngelaRayner: Torieswe need to be patriotic on Brexit talks,protecting young,elderly,sick,poor,homeless,disabled,working families&amp;wor…""",1
21447,780840449963532288,"""grrrahh: RT weloveeconomics: WHAT BREXITERS WERE NOT TOLD #remain #GE2017 #stopbrexit  nickreeves9876 SParkerG… https://t.co/k58s0bwAyQ""",1
