Lemma/_writtenForm,Sense/Confidence/_level,Sense/MonolingualExternalRef,Sense/Sentiment/_polarity,Sense/Sentiment/_strength,Sense/Domain,_id,_partOfSpeech
accuse,manual,,negative,strong,,,verb
accuses,manual,,negative,strong,,,verb
accusing,manual,,negative,strong,,,other
accusingly,manual,,negative,strong,,,other
acerbate,manual,,negative,strong,,,verb
acerbic,manual,,negative,strong,,,adj
acerbically,manual,,negative,strong,,,other
ache,manual,,negative,strong,,,verb
achievable,manual,,positive,average,,,adj
achieve,manual,,positive,average,,,verb
achievement,manual,,positive,average,,,other
achievements,manual,,positive,average,,,other
acknowledge,manual,,positive,average,,,verb
acknowledgement,manual,,positive,average,,,noun
acquit,manual,,positive,average,,,verb
acrid,manual,,negative,strong,,,adj
acridly,manual,,negative,strong,,,other
acridness,manual,,negative,strong,,,noun
acrimonious,manual,,negative,strong,,,adj
acrimoniously,manual,,negative,strong,,,other
acrimony,manual,,negative,strong,,,noun
active,manual,,positive,average,,,adj
activist,manual,,neutral,strong,,,adj
activist,manual,,neutral,strong,,,noun
actual,manual,,neutral,strong,,,other
actuality,manual,,neutral,strong,,,other
actually,manual,,neutral,strong,,,other
acumen,manual,,positive,strong,,,noun
adamant,manual,,negative,strong,,,adj
adamantly,manual,,negative,strong,,,other
adaptable,manual,,positive,average,,,adj
adaptability,manual,,positive,average,,,noun
adaptive,manual,,positive,average,,,adj
addict,manual,,negative,average,,,noun
addiction,manual,,negative,average,,,noun
adept,manual,,positive,average,,,adj
adeptly,manual,,positive,average,,,other
adequate,manual,,positive,average,,,adj
adherence,manual,,positive,average,,,noun
adherent,manual,,positive,average,,,adj
adhesion,manual,,positive,average,,,noun
admirable,manual,,positive,strong,,,adj
admirer,manual,,positive,strong,,,noun
admirable,manual,,positive,strong,,,other
admirably,manual,,positive,strong,,,other
admiration,manual,,positive,strong,,,noun
admire,manual,,positive,strong,,,verb
admiring,manual,,positive,strong,,,adj
admiringly,manual,,positive,strong,,,adj
admission,manual,,positive,average,,,adj
admission,manual,,positive,average,,,noun
admit,manual,,positive,strong,,,verb
admittedly,manual,,positive,strong,,,other
admonish,manual,,negative,strong,,,verb
admonisher,manual,,negative,strong,,,other
admonishingly,manual,,negative,strong,,,other
admonishment,manual,,negative,strong,,,other
admonition,manual,,negative,strong,,,noun
adolescents,manual,,neutral,strong,,,adj
adolescents,manual,,neutral,strong,,,noun
adorable,manual,,positive,strong,,,adj
adore,manual,,positive,strong,,,verb
adored,manual,,positive,strong,,,adj
adorer,manual,,positive,strong,,,other
adorer,manual,,positive,strong,,,noun
adoring,manual,,positive,strong,,,adj
adoringly,manual,,positive,strong,,,other
adrift,manual,,negative,average,,,other
adroit,manual,,positive,strong,,,adj
adroitly,manual,,positive,strong,,,adj
adulate,manual,,positive,strong,,,verb
adulation,manual,,positive,strong,,,other
adulatory,manual,,positive,strong,,,adj
adulterate,manual,,negative,strong,,,verb
adulterated,manual,,negative,strong,,,other
adulteration,manual,,negative,strong,,,noun
advanced,manual,,positive,average,,,adj
advantage,manual,,positive,average,,,adj
advantage,manual,,positive,average,,,noun
advantageous,manual,,positive,strong,,,adj
advantages,manual,,positive,average,,,adj
advantages,manual,,positive,average,,,noun
adventure,manual,,positive,average,,,adj
adventure,manual,,positive,average,,,noun
adventuresome,manual,,positive,strong,,,noun
adventurism,manual,,positive,strong,,,noun
adventurous,manual,,positive,average,,,adj
adversarial,manual,,negative,average,,,adj
adversary,manual,,negative,average,,,noun
adverse,manual,,negative,average,,,adj
adversity,manual,,negative,strong,,,noun
advice,manual,,positive,average,,,adj
advice,manual,,positive,average,,,noun
advisable,manual,,positive,average,,,noun
advocate,manual,,positive,strong,,,verb
advocacy,manual,,positive,strong,,,noun
affable,manual,,positive,strong,,,adj
affability,manual,,positive,average,,,noun
affably,manual,,positive,average,,,other
affect,manual,,neutral,average,,,verb
affectation,manual,,negative,average,,,noun
affected,manual,,neutral,strong,,,adj
affection,manual,,positive,strong,,,adj
affection,manual,,positive,strong,,,noun
affectionate,manual,,positive,strong,,,adj
affinity,manual,,positive,average,,,noun
affirm,manual,,positive,strong,,,verb
affirmation,manual,,positive,strong,,,adj
affirmation,manual,,positive,strong,,,noun
affirmative,manual,,positive,average,,,noun
afflict,manual,,negative,average,,,verb
affliction,manual,,negative,average,,,noun
afflictive,manual,,negative,strong,,,adj
affluent,manual,,positive,average,,,adj
affluence,manual,,positive,average,,,noun
afford,manual,,positive,average,,,verb
affordable,manual,,positive,average,,,adj
affront,manual,,negative,strong,,,noun
affront,manual,,negative,strong,,,verb
afloat,manual,,positive,average,,,adj
afraid,manual,,negative,strong,,,adj
against,manual,,negative,average,,,other
aggravate,manual,,negative,strong,,,verb
aggravating,manual,,negative,strong,,,adj
aggravation,manual,,negative,strong,,,noun
aggression,manual,,negative,strong,,,adj
aggression,manual,,negative,strong,,,noun
aggressive,manual,,negative,strong,,,other
aggressiveness,manual,,negative,strong,,,noun
aggressor,manual,,negative,strong,,,noun
aggrieve,manual,,negative,strong,,,verb
aggrieved,manual,,negative,strong,,,adj
aghast,manual,,negative,strong,,,adj
agile,manual,,positive,average,,,adj
agilely,manual,,positive,average,,,other
agility,manual,,positive,average,,,noun
agitate,manual,,negative,strong,,,verb
agitated,manual,,negative,strong,,,adj
agitation,manual,,negative,strong,,,noun
agitator,manual,,negative,strong,,,noun
agonies,manual,,negative,strong,,,noun
agonize,manual,,negative,strong,,,verb
agonizing,manual,,negative,strong,,,adj
agonizing,manual,,negative,strong,,,other
agonizingly,manual,,negative,strong,,,other
agony,manual,,negative,strong,,,noun
agree,manual,,positive,strong,,,verb
agreeability,manual,,positive,strong,,,other
agreeable,manual,,positive,average,,,adj
agreeable,manual,,positive,strong,,,other
agreeableness,manual,,positive,strong,,,other
agreeably,manual,,positive,strong,,,other
agreement,manual,,positive,average,,,adj
agreement,manual,,positive,average,,,noun
aha,manual,,neutral,strong,,,other
ail,manual,,negative,average,,,noun
ail,manual,,negative,average,,,verb
ailment,manual,,negative,average,,,noun
aimless,manual,,negative,strong,,,adj
air,manual,,neutral,strong,,,verb
airs,manual,,negative,average,,,adj
airs,manual,,negative,average,,,noun
alarm,manual,,negative,average,,,adj
alarm,manual,,negative,average,,,verb
alarmed,manual,,negative,strong,,,adj
alarming,manual,,negative,strong,,,adj
alarmingly,manual,,negative,strong,,,other
alas,manual,,negative,strong,,,other
alert,manual,,neutral,average,,,adj
alienate,manual,,negative,average,,,verb
alienated,manual,,negative,average,,,adj
alienation,manual,,negative,average,,,noun
all-time,manual,,neutral,average,,,adj
all-time,manual,,neutral,average,,,noun
allay,manual,,positive,strong,,,verb
allegation,manual,,negative,strong,,,other
allegations,manual,,negative,strong,,,adj
allege,manual,,negative,average,,,verb
allegations,manual,,negative,strong,,,noun
allegorize,manual,,neutral,strong,,,verb
allergic,manual,,negative,average,,,adj
alleviate,manual,,positive,average,,,verb
alliance,manual,,neutral,strong,,,other
alliances,manual,,neutral,strong,,,adj
alliances,manual,,neutral,strong,,,noun
allow,manual,,positive,average,,,verb
allowable,manual,,positive,average,,,adj
allure,manual,,positive,strong,,,verb
allure,manual,,positive,strong,,,noun
alluring,manual,,positive,strong,,,other
alluringly,manual,,positive,strong,,,other
allusion,manual,,neutral,strong,,,adj
allusion,manual,,neutral,strong,,,noun
allusions,manual,,neutral,strong,,,other
ally,manual,,positive,strong,,,noun
almighty,manual,,positive,strong,,,adj
aloof,manual,,negative,strong,,,adj
altercation,manual,,negative,average,,,noun
although,manual,,negative,average,,,other
altogether,manual,,neutral,strong,,,other
altruist,manual,,positive,strong,,,noun
altruistic,manual,,positive,strong,,,adj
altruistically,manual,,positive,strong,,,adj
amaze,manual,,positive,strong,,,verb
amazed,manual,,positive,strong,,,adj
amazement,manual,,positive,strong,,,noun
amazing,manual,,positive,strong,,,adj
amazing,manual,,positive,strong,,,other
amazingly,manual,,positive,strong,,,other
ambiguous,manual,,negative,strong,,,adj
ambiguity,manual,,negative,strong,,,noun
ambitious,manual,,positive,average,,,adj
ambitious,manual,,positive,average,,,noun
ambitiously,manual,,positive,average,,,other
ambivalence,manual,,negative,strong,,,other
ambivalent,manual,,negative,strong,,,adj
ambivalent,manual,,negative,strong,,,noun
ambush,manual,,negative,average,,,noun
ambush,manual,,negative,average,,,verb
ameliorate,manual,,positive,strong,,,verb
amenable,manual,,positive,strong,,,adj
amenity,manual,,positive,average,,,noun
amiability,manual,,positive,strong,,,noun
amiabily,manual,,positive,strong,,,other
amiable,manual,,positive,strong,,,adj
amicability,manual,,positive,strong,,,noun
amicable,manual,,positive,strong,,,adj
amicably,manual,,positive,strong,,,other
amiss,manual,,negative,strong,,,other
amity,manual,,positive,average,,,adj
amity,manual,,positive,average,,,noun
amnesty,manual,,positive,average,,,noun
amour,manual,,positive,strong,,,noun
ample,manual,,positive,average,,,adj
amply,manual,,positive,average,,,other
amplify,manual,,neutral,average,,,verb
amputate,manual,,negative,average,,,verb
amuse,manual,,positive,strong,,,verb
amusement,manual,,positive,strong,,,adj
amusement,manual,,positive,strong,,,noun
amusing,manual,,positive,strong,,,adj
amusing,manual,,positive,strong,,,other
amusingly,manual,,positive,strong,,,other
analytical,manual,,neutral,average,,,adj
anarchism,manual,,negative,strong,,,noun
anarchist,manual,,negative,strong,,,noun
anarchistic,manual,,negative,strong,,,adj
anarchy,manual,,negative,strong,,,noun
anemic,manual,,negative,average,,,adj
angel,manual,,positive,average,,,noun
angelic,manual,,positive,strong,,,adj
anger,manual,,negative,strong,,,adj
anger,manual,,negative,strong,,,noun
anger,manual,,negative,strong,,,verb
angrily,manual,,negative,strong,,,other
angriness,manual,,negative,strong,,,other
angry,manual,,negative,strong,,,adj
anguish,manual,,negative,strong,,,noun
anguish,manual,,negative,strong,,,verb
annihilate,manual,,negative,strong,,,verb
annihilation,manual,,negative,strong,,,noun
animated,manual,,positive,average,,,adj
animosity,manual,,negative,strong,,,noun
annoy,manual,,negative,strong,,,verb
annoyance,manual,,negative,strong,,,noun
annoyed,manual,,negative,strong,,,adj
annoying,manual,,negative,strong,,,adj
annoying,manual,,negative,strong,,,other
annoyingly,manual,,negative,strong,,,other
anomalous,manual,,negative,average,,,adj
anomaly,manual,,negative,average,,,noun
antagonism,manual,,negative,strong,,,noun
antagonist,manual,,negative,average,,,noun
antagonistic,manual,,negative,strong,,,adj
antagonize,manual,,negative,strong,,,verb
anti-,manual,,negative,strong,,,noun
anti-American,manual,,negative,strong,,,adj
anti-American,manual,,negative,strong,,,noun
anti-Israeli,manual,,negative,strong,,,adj
anti-Israeli,manual,,negative,strong,,,noun
anti-Semites,manual,,negative,strong,,,adj
anti-Semites,manual,,negative,strong,,,noun
anti-US,manual,,negative,strong,,,adj
anti-US,manual,,negative,strong,,,noun
anti-occupation,manual,,negative,strong,,,adj
anti-occupation,manual,,negative,strong,,,noun
anti-proliferation,manual,,negative,strong,,,adj
anti-proliferation,manual,,negative,strong,,,noun
anti-social,manual,,negative,strong,,,adj
anti-white,manual,,negative,strong,,,adj
anti-white,manual,,negative,strong,,,noun
antipathy,manual,,negative,strong,,,noun
antiquated,manual,,negative,strong,,,adj
antithetical,manual,,negative,strong,,,adj
antithetical,manual,,negative,strong,,,noun
anxieties,manual,,negative,strong,,,noun
anxiety,manual,,negative,strong,,,noun
anxious,manual,,negative,strong,,,other
anxiously,manual,,negative,strong,,,other
anxiousness,manual,,negative,strong,,,noun
anyhow,manual,,neutral,strong,,,other
anyway,manual,,neutral,strong,,,other
anyways,manual,,neutral,strong,,,other
apathetic,manual,,negative,strong,,,adj
apathetic,manual,,negative,strong,,,noun
apathetically,manual,,negative,strong,,,other
apathy,manual,,negative,strong,,,noun
ape,manual,,negative,strong,,,verb
apocalypse,manual,,negative,strong,,,noun
apocalyptic,manual,,negative,strong,,,adj
apologist,manual,,negative,strong,,,adj
apologist,manual,,negative,strong,,,noun
apologists,manual,,negative,strong,,,adj
apologists,manual,,negative,strong,,,noun
apostle,manual,,positive,strong,,,adj
apostle,manual,,positive,strong,,,noun
apotheosis,manual,,positive,strong,,,adj
apotheosis,manual,,positive,strong,,,noun
appal,manual,,negative,strong,,,verb
appall,manual,,negative,strong,,,adj
appall,manual,,negative,strong,,,other
appall,manual,,negative,strong,,,verb
appalled,manual,,negative,strong,,,adj
appalling,manual,,negative,strong,,,adj
appallingly,manual,,negative,strong,,,other
apparent,manual,,neutral,average,,,other
apparently,manual,,neutral,average,,,other
appeal,manual,,positive,average,,,adj
appeal,manual,,positive,average,,,noun
appeal,manual,,positive,average,,,verb
appealing,manual,,positive,strong,,,adj
appear,manual,,neutral,average,,,other
appearance,manual,,neutral,average,,,adj
appearance,manual,,neutral,average,,,noun
appease,manual,,positive,average,,,verb
applaud,manual,,positive,strong,,,verb
appreciable,manual,,positive,average,,,adj
appreciate,manual,,positive,strong,,,verb
appreciation,manual,,positive,strong,,,adj
appreciation,manual,,positive,strong,,,noun
appreciative,manual,,positive,strong,,,other
appreciatively,manual,,positive,strong,,,other
appreciativeness,manual,,positive,strong,,,other
apprehend,manual,,neutral,average,,,verb
apprehension,manual,,negative,strong,,,noun
apprehensions,manual,,negative,strong,,,adj
apprehensions,manual,,negative,strong,,,noun
apprehensive,manual,,negative,strong,,,adj
apprehensive,manual,,negative,strong,,,noun
apprehensively,manual,,negative,strong,,,other
appropriate,manual,,positive,average,,,adj
approval,manual,,positive,average,,,noun
approve,manual,,positive,average,,,verb
apt,manual,,positive,average,,,adj
aptly,manual,,positive,average,,,other
aptitude,manual,,positive,average,,,noun
arbitrary,manual,,negative,strong,,,adj
arcane,manual,,negative,strong,,,adj
archaic,manual,,negative,strong,,,adj
ardent,manual,,positive,strong,,,adj
ardently,manual,,positive,strong,,,other
ardor,manual,,positive,strong,,,noun
arduous,manual,,negative,strong,,,adj
arduously,manual,,negative,strong,,,other
aristocratic,manual,,positive,average,,,adj
argue,manual,,negative,strong,,,verb
argument,manual,,negative,average,,,adj
argument,manual,,negative,average,,,noun
argumentative,manual,,negative,strong,,,other
arguments,manual,,negative,average,,,adj
arguments,manual,,negative,average,,,noun
arousal,manual,,positive,strong,,,other
arouse,manual,,positive,strong,,,verb
arousing,manual,,positive,strong,,,other
arresting,manual,,positive,strong,,,adj
arrogance,manual,,negative,strong,,,noun
arrogant,manual,,negative,strong,,,adj
arrogant,manual,,negative,strong,,,other
arrogantly,manual,,negative,strong,,,other
arrogantly,manual,,negative,strong,,,other
articulate,manual,,positive,strong,,,adj
artificial,manual,,negative,average,,,adj
ascendant,manual,,positive,strong,,,adj
ascendant,manual,,positive,strong,,,noun
ascertainable,manual,,positive,strong,,,adj
ascertainable,manual,,positive,strong,,,noun
ashamed,manual,,negative,strong,,,adj
asinine,manual,,negative,strong,,,adj
asininely,manual,,negative,strong,,,other
asinininity,manual,,negative,strong,,,noun
askance,manual,,negative,strong,,,other
asperse,manual,,negative,strong,,,verb
aspersion,manual,,negative,strong,,,noun
aspersions,manual,,negative,strong,,,noun
aspiration,manual,,positive,strong,,,noun
aspirations,manual,,positive,strong,,,adj
aspirations,manual,,positive,strong,,,noun
aspire,manual,,positive,strong,,,verb
assail,manual,,negative,average,,,verb
assassinate,manual,,negative,average,,,verb
assassin,manual,,negative,strong,,,noun
assault,manual,,negative,average,,,adj
assault,manual,,negative,average,,,noun
assent,manual,,positive,strong,,,verb
assertions,manual,,positive,strong,,,adj
assertions,manual,,positive,strong,,,noun
assertive,manual,,positive,average,,,adj
assess,manual,,neutral,strong,,,verb
assessment,manual,,neutral,average,,,adj
assessment,manual,,neutral,average,,,noun
assessments,manual,,neutral,average,,,adj
assessments,manual,,neutral,average,,,noun
asset,manual,,positive,average,,,noun
assiduous,manual,,positive,strong,,,adj
assiduously,manual,,positive,strong,,,other
assuage,manual,,positive,average,,,verb
assumption,manual,,neutral,average,,,adj
assumption,manual,,neutral,average,,,noun
assurance,manual,,positive,average,,,adj
assurance,manual,,positive,average,,,noun
assurances,manual,,positive,average,,,adj
assurances,manual,,positive,average,,,noun
assure,manual,,positive,strong,,,verb
assuredly,manual,,positive,strong,,,other
astonish,manual,,positive,strong,,,verb
astonished,manual,,positive,strong,,,adj
astonishing,manual,,positive,strong,,,adj
astonishing,manual,,positive,strong,,,other
astonishingly,manual,,positive,strong,,,other
astonishment,manual,,positive,strong,,,noun
astound,manual,,positive,strong,,,verb
astounded,manual,,positive,strong,,,adj
astounding,manual,,positive,strong,,,adj
astounding,manual,,positive,strong,,,other
astounding,manual,,positive,strong,,,other
astoundingly,manual,,positive,strong,,,other
astray,manual,,negative,average,,,adj
astronomic,manual,,neutral,strong,,,adj
astronomical,manual,,neutral,strong,,,adj
astronomically,manual,,neutral,strong,,,other
astute,manual,,positive,strong,,,adj
astutely,manual,,positive,strong,,,other
asunder,manual,,negative,strong,,,other
asylum,manual,,positive,average,,,adj
asylum,manual,,positive,average,,,noun
atrocious,manual,,negative,strong,,,adj
atrocities,manual,,negative,strong,,,noun
atrocity,manual,,negative,strong,,,noun
atrophy,manual,,negative,strong,,,verb
attack,manual,,negative,average,,,noun
attack,manual,,negative,average,,,verb
attain,manual,,positive,average,,,verb
attainable,manual,,positive,average,,,adj
attentive,manual,,positive,strong,,,adj
attest,manual,,positive,strong,,,verb
attitude,manual,,neutral,strong,,,adj
attitude,manual,,neutral,strong,,,noun
attitudes,manual,,neutral,average,,,adj
attitudes,manual,,neutral,average,,,noun
attraction,manual,,positive,strong,,,adj
attraction,manual,,positive,strong,,,noun
attractive,manual,,positive,strong,,,adj
attractive,manual,,positive,strong,,,noun
attractively,manual,,positive,strong,,,other
attune,manual,,positive,average,,,adj
audacious,manual,,negative,strong,,,adj
audaciously,manual,,negative,strong,,,other
audaciousness,manual,,negative,strong,,,noun
audacity,manual,,negative,strong,,,noun
auspicious,manual,,positive,strong,,,adj
austere,manual,,negative,strong,,,adj
authentic,manual,,positive,average,,,adj
authoritarian,manual,,negative,average,,,adj
authoritative,manual,,positive,average,,,adj
autocrat,manual,,negative,strong,,,noun
autocratic,manual,,negative,strong,,,adj
award,manual,,positive,average,,,adj
award,manual,,positive,average,,,verb
awareness,manual,,neutral,strong,,,noun
aware,manual,,neutral,strong,,,adj
autocratic,manual,,negative,strong,,,adj
autocratic,manual,,negative,strong,,,noun
autonomous,manual,,positive,average,,,adj
avalanche,manual,,negative,strong,,,adj
avalanche,manual,,negative,strong,,,noun
avarice,manual,,negative,strong,,,noun
avaricious,manual,,negative,strong,,,adj
avariciously,manual,,negative,strong,,,adj
avenge,manual,,negative,strong,,,verb
aver,manual,,positive,strong,,,verb
averse,manual,,negative,strong,,,other
aversion,manual,,negative,strong,,,noun
avid,manual,,positive,strong,,,adj
avidly,manual,,positive,strong,,,other
avoid,manual,,negative,average,,,verb
avoidance,manual,,negative,average,,,noun
awe,manual,,positive,strong,,,noun
awe,manual,,positive,strong,,,verb
awed,manual,,positive,strong,,,adj
awesome,manual,,positive,strong,,,adj
awesome,manual,,positive,strong,,,other
awesomely,manual,,positive,strong,,,other
awesomeness,manual,,positive,strong,,,noun
awestruck,manual,,positive,strong,,,adj
awful,manual,,negative,strong,,,adj
awful,manual,,negative,strong,,,other
awfully,manual,,negative,strong,,,other
awfulness,manual,,negative,strong,,,other
awfulness,manual,,negative,strong,,,noun
awkward,manual,,negative,strong,,,adj
awkwardness,manual,,negative,strong,,,noun
ax,manual,,negative,strong,,,verb
babble,manual,,negative,strong,,,verb
baby,manual,,neutral,strong,,,adj
baby,manual,,neutral,strong,,,noun
back,manual,,positive,average,,,verb
backbite,manual,,negative,strong,,,verb
backbiting,manual,,negative,strong,,,other
backbone,manual,,positive,average,,,noun
backward,manual,,negative,strong,,,adj
backwardness,manual,,negative,strong,,,noun
bad,manual,,negative,strong,,,adj
badly,manual,,negative,strong,,,adj
baffle,manual,,negative,strong,,,verb
baffled,manual,,negative,strong,,,adj
bafflement,manual,,negative,strong,,,noun
baffling,manual,,negative,strong,,,other
bait,manual,,negative,strong,,,verb
balanced,manual,,positive,average,,,adj
balk,manual,,negative,strong,,,verb
banal,manual,,negative,strong,,,adj
banal,manual,,negative,strong,,,other
banalize,manual,,negative,strong,,,verb
bane,manual,,negative,strong,,,noun
banish,manual,,negative,strong,,,adj
banish,manual,,negative,strong,,,verb
banishment,manual,,negative,strong,,,noun
bankrupt,manual,,negative,average,,,adj
bankrupt,manual,,negative,average,,,verb
bar,manual,,negative,average,,,verb
barbarian,manual,,negative,strong,,,adj
barbarian,manual,,negative,strong,,,noun
barbaric,manual,,negative,strong,,,adj
barbarically,manual,,negative,strong,,,other
barbarity,manual,,negative,strong,,,adj
barbarity,manual,,negative,strong,,,noun
barbarous,manual,,negative,strong,,,adj
barbarous,manual,,negative,strong,,,other
barbarously,manual,,negative,strong,,,other
barely,manual,,negative,average,,,other
bargain,manual,,positive,strong,,,noun
bargain,manual,,positive,strong,,,adj
barren,manual,,negative,strong,,,adj
baseless,manual,,negative,strong,,,adj
bashful,manual,,negative,strong,,,adj
basic,manual,,positive,average,,,adj
basically,manual,,neutral,average,,,other
bask,manual,,positive,average,,,verb
bastard,manual,,negative,strong,,,other
bastard,manual,,negative,strong,,,noun
batons,manual,,neutral,average,,,adj
batons,manual,,neutral,average,,,noun
battered,manual,,negative,average,,,adj
battering,manual,,negative,average,,,adj
battering,manual,,negative,average,,,noun
battle,manual,,negative,average,,,verb
battle-lines,manual,,negative,strong,,,adj
battle-lines,manual,,negative,strong,,,noun
battlefield,manual,,negative,average,,,noun
battleground,manual,,negative,strong,,,adj
battleground,manual,,negative,strong,,,noun
batty,manual,,negative,strong,,,adj
beacon,manual,,positive,average,,,noun
bearish,manual,,negative,average,,,adj
beast,manual,,negative,strong,,,adj
beast,manual,,negative,strong,,,noun
beastly,manual,,negative,strong,,,adj
beatify,manual,,positive,strong,,,verb
beauteous,manual,,positive,strong,,,adj
beautiful,manual,,positive,strong,,,adj
beautiful,manual,,positive,strong,,,other
beautifully,manual,,positive,strong,,,other
beautify,manual,,positive,strong,,,verb
beauty,manual,,positive,strong,,,noun
bedlam,manual,,negative,strong,,,noun
bedlamite,manual,,negative,strong,,,noun
befit,manual,,positive,strong,,,verb
befitting,manual,,positive,strong,,,adj
befoul,manual,,negative,strong,,,verb
befriend,manual,,positive,strong,,,verb
beg,manual,,negative,strong,,,verb
beggar,manual,,negative,average,,,noun
beggarly,manual,,negative,strong,,,adj
begging,manual,,negative,strong,,,adj
begging,manual,,negative,strong,,,noun
beguile,manual,,negative,strong,,,verb
belated,manual,,negative,average,,,adj
belabor,manual,,negative,strong,,,verb
beleaguer,manual,,negative,strong,,,verb
belie,manual,,negative,strong,,,verb
belief,manual,,neutral,strong,,,adj
belief,manual,,neutral,strong,,,noun
beliefs,manual,,neutral,average,,,adj
beliefs,manual,,neutral,average,,,noun
believable,manual,,positive,strong,,,adj
believe,manual,,neutral,strong,,,verb
belittle,manual,,negative,strong,,,verb
belittled,manual,,negative,strong,,,adj
belittling,manual,,negative,strong,,,other
bellicose,manual,,negative,strong,,,adj
bellicose,manual,,negative,strong,,,noun
belligerence,manual,,negative,strong,,,noun
belligerent,manual,,negative,strong,,,adj
belligerent,manual,,negative,strong,,,other
belligerently,manual,,negative,strong,,,other
beloved,manual,,positive,strong,,,adj
bemoan,manual,,negative,strong,,,verb
bemoaning,manual,,negative,strong,,,adj
bemused,manual,,negative,strong,,,adj
benefactor,manual,,positive,average,,,noun
beneficial,manual,,positive,average,,,adj
beneficent,manual,,positive,strong,,,adj
beneficial,manual,,positive,strong,,,other
beneficially,manual,,positive,strong,,,other
beneficiary,manual,,positive,strong,,,adj
beneficiary,manual,,positive,strong,,,noun
benefit,manual,,positive,average,,,adj
benefit,manual,,positive,average,,,noun
benefits,manual,,positive,average,,,adj
benefits,manual,,positive,average,,,noun
benevolence,manual,,positive,strong,,,noun
benevolent,manual,,positive,strong,,,adj
benign,manual,,positive,average,,,adj
bent,manual,,negative,average,,,adj
berate,manual,,negative,strong,,,verb
bereave,manual,,negative,strong,,,verb
bereavement,manual,,negative,strong,,,noun
bereft,manual,,negative,strong,,,other
berserk,manual,,negative,strong,,,adj
beseech,manual,,negative,strong,,,verb
beset,manual,,negative,average,,,adj
