14agree-disagree,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL,LinkcountREL,14agree-disagreeREL
1,0.426749854,0.861645336,0,0.94000428,0.905773091,1.025632139,0.909224154,0,1,0.94000428,0.888139066,2.952758238,1.816699126,1.688612232,0,0,0,,-4.991350133
1,1.857617012,2.250414877,4.697283369,1.109826165,0,1.002107272,1.238963246,0,1,1.109826165,0,0,0,0,0,0,3.24665174,,-13.03623211
1,1.857617012,2.250414877,4.697283369,1.109826165,0,1.002107272,1.238963246,0,1,1.109826165,0,0,0,0,0,0,3.24665174,,-13.03623211
1,0.612344666,2.516911376,0,0.950241491,0.835519223,0.995238648,1.093959929,0.693370601,1,0.950241491,0.273084311,3.026372709,0,0,0.870212537,0,0,,-3.069472935
1,0.612344666,2.516911376,0,0.950241491,0.835519223,0.995238648,1.093959929,0.693370601,1,0.950241491,0.273084311,3.026372709,0,0,0.870212537,0,0,,-3.069472935
1,0.467844285,2.125391829,0,1.143457261,0,1.059683236,0.650073308,0,1,1.143457261,0,0,0,0,0,0,0,,-16.41599599
1,0.574172531,0,0,0.987531271,0.914007392,1.006000462,0.691441609,2.275516245,1,0.987531271,0.597475372,0,0,0,1.90391955,3.489946395,0,,-6.715634724
1,0.764901123,0.827358411,0.690776966,0.90507214,0.52183813,1.013632261,1.032469371,0.649585087,1,0.90507214,2.21727452,1.134104375,2.093289997,1.945701983,0.543506446,0.498132487,0,,-1.917092958
-1,0.75964407,0.986006518,0,0.874292923,1.036503228,0.992593036,1.055531402,2.15040195,1,0.874292923,0,0,0,0,2.698855032,4.947088962,0,,3.807834122
1,0,1.156967326,1.609955993,1.083517969,0,1.039199332,0.566192881,1.00930156,1,1.083517969,2.385083137,0,3.252477468,3.023160608,0,0,0,,-8.936126851
1,0.367737866,0.974524638,0,0.932075788,0.439042852,1.026867284,0.843108177,1.093042738,1,0.932075788,0.573993807,0,1.174111226,1.091330176,1.371819763,2.514590198,0,,-3.225850741
1,1.0186932,0,0,1.198785839,0,1.039199332,0.566192881,0,1,1.198785839,0,0,0,0,0,0,0,,-35.7445074
1,0,0,4.81047092,0.895478578,0,1.052568651,0.422939261,0,1,0.895478578,2.37550449,0,0,0,0,0,0,,-26.70071637
-1,0.572685037,1.982230721,0,0.896103165,1.041873711,0.997264485,1.250464847,0.324231589,1,0.896103165,1.276987517,5.094655405,0,0,1.627703242,0,0,,2.870672874
1,0,0,0,1.11556806,0,1.092039976,0,0,1,1.11556806,0,0,0,0,0,0,0,,-54.05266973
,0.645797325,1.760293846,2.449503597,0.888576195,5.756938174,0.944648077,1.076808547,1.02374964,1,0.888576195,0.403204239,2.681032019,1.649518225,1.533218468,0,0,0,,
1,0,0.262034609,0,0.90850029,6.61090278,0.990315704,0.288525687,0.685772019,1,0.90850029,0,0,0,0,0.860675961,1.577647001,0,,-3.035834875
1,0.508321758,0.769759616,0,0.966301911,1.41606779,1.030516597,0.706317075,0.503635386,1,0.966301911,0,0,1.622966624,1.508538895,0.632085967,1.158634115,0,,-4.459073358
1,0.469583483,1.422195276,0,0.935169507,0,1.043324438,0.652489937,0,1,0.935169507,0,0,0,0,0,0,0,,-8.238511
0,0.961114889,2.287106424,0.867976275,0.894879596,0.218566985,1.011323977,0.953911919,0.544145189,1,0.894879596,0.857247273,0,0,0,0.682927665,0,0,,0
0,0.664831352,4.027058202,0,0.902729417,0,1.02306903,1.108546062,0,1,0.902729417,0,0,0,0,0,0,0,,0
1,1.038229782,1.048138436,1.093887908,1.080802069,0.550908565,1.023226498,0.721314218,0,1,1.080802069,0.540183213,0,0,0,0.860675961,0,1.512139167,,-6.071669751
1,0.374830732,0.283806031,1.184774737,0.967018752,0.298340692,1.014268583,0.885411419,0,1,0.967018752,1.755194712,3.890280883,2.393514576,2.224759142,0,0,0,,-6.576140828
1,0.7301616,1.105695171,0,0.892293239,0,1.054165757,0.811652223,0,1,0.892293239,0,0,0,0,0,0,0,,-12.81017028
1,0.716901004,2.062667439,0,0.902046307,0.342363722,1.010229943,1.135599116,0.568233342,1,0.902046307,2.014190527,2.480182856,0,0,0,0,0,,-2.515504494
1,0.734406726,0,0,0.814380898,0,1.069818232,0.306139174,0,1,0.814380898,0,0,0,0,0,0,0,,-6.442324009
1,0.859305829,0,0,1.050113811,1.025926664,1.047466915,0.656706709,0.851383629,1,1.050113811,0,0,0,0,1.068526278,1.958643385,0,,-7.537957343
1,0.740144278,1.120812097,0,1.027324883,0.392737551,1.036584821,0.617061773,0,1,1.027324883,0,0,0,0,0,0,0,,-8.656872886
1,0.501261733,1.51813702,0,1.043631627,0,1.040038072,0.696507116,0,1,1.043631627,0,0,6.401701684,5.950347863,0,0,0,,-17.58856713
1,0.75574846,0.326983358,0,0.987087038,3.781022032,0.991236286,0.570064285,0.855749699,1,0.987087038,1.685186946,0,1.378828055,1.281613386,0.53700295,0,0.943471446,,-3.788306767
1,1.644765063,1.49441613,0,0.982658584,0,1.009568207,0.914165589,0,1,0.982658584,0.513455398,0,0,0,1.636180863,0,1.437319781,,-5.771248591
1,0.402286487,0,0,0.910395909,0,1.008571952,0.894368373,0,1,0.910395909,0,0,5.137671415,4.775438413,0,0,0,,-14.11566534
-1,4.074772801,0,0,0.922142953,0,0.986358688,1.415482203,0,1,0.922142953,0,0,0,0,0,0,8.90210961,,35.7445074
1,0.43809696,1.769112274,0,0.839416602,2.324643078,0.974629897,1.116021806,0.578744016,1,0.839416602,1.139692906,3.536482699,2.797506632,2.600267621,1.089526216,0,0,,-2.562034057
1,1.415327248,0.803719599,1.118400802,1.008932878,0,1.030861265,0.835808539,0,1,1.008932878,0.552288159,0,2.259424124,2.100122775,0,0,1.546024638,,-6.207729577
1,0.779740474,0,0,0.988172942,7.447467638,0.94373825,0.866764411,0,1,0.988172942,0,0,0,0,0,0,0,,-27.35999332
0,1.393212759,0.703254649,0,0.966894008,0,1.019772624,0.9034107,0,1,0.966894008,1.449756417,0,0,0,0,0,0,,0
1,0,0,0,1.138038033,1.905986978,0.978177988,1.164586305,0,1,1.138038033,1.86888031,10.355645,3.822817119,3.553288298,0,0,0,,-10.5031254
,0.770231444,2.332747129,0,0.92964005,1.226107477,0.981060303,1.569689207,0,1,0.92964005,0.801491352,8.882280878,3.278920375,3.04773915,0,0,0,,
1,0.677671442,0,0,0.834282122,0.647258454,1.03345414,0.828634216,0,1,0.834282122,0,4.68892939,3.46186443,3.217784681,0.674134605,0,1.184400849,,-4.755706993
1,2.577917487,0.487972614,0,0.991774155,0,1.030752018,0.895509149,0,1,0.991774155,1.005953432,0,0,0,0,0,5.631946896,,-11.30693601
1,0.357335097,0.676397682,2.823685193,0.873361982,0,1.011720204,1.067517837,0.354040717,1,0.873361982,0.278878179,3.090581465,2.28179466,2.12091607,2.221688301,0.814485368,0,,-3.134596123
1,0.497314791,1.317910287,3.929813842,0.92286905,8.114514444,0.857724312,1.554801317,2.710014426,1,0.92286905,0.77624753,4.301262,6.351294584,5.903494731,2.473596266,1.133545581,0,,-4.36251862
0,1.137999611,0.861645336,0,0.995803621,0.905773091,0.9707022,1.581259398,3.006688132,1,0.995803621,0.592092711,3.937010984,0,0,2.830150682,3.458505437,1.657449837,,0
1,0.477162612,0.788263453,0,0.687173835,0.345263781,1.02003734,0.988504329,1.117441013,1,0.687173835,0,0,1.661980245,3.089603698,4.530962391,1.977476495,0,,-1.52208754
1,0.348944632,1.761374444,2.941208739,0.905500225,0.185158035,1.033717399,0.808102178,0,1,0.905500225,0,2.414410051,0,0,0,0,1.016447138,,-4.08132497
1,0.583005955,0.294285022,0,0.844399208,0.618712696,1.01811727,0.918103533,0.385087365,1,0.844399208,0,4.033922023,2.481890499,2.306904095,2.89981593,0,0,,-6.818952181
1,0.945808329,0.159139155,0,0.951295559,1.672892065,1.01572437,0.730115612,1.041209596,1,0.951295559,0.65612936,0,0,0,1.568120095,1.916276723,0.91835407,,-3.687453343
1,0.503928019,1.017474812,0,1.140416152,0,1.033952743,0.560169553,0,1,1.140416152,1.048759961,0,0,0,0,0,0,,-5.894041114
-1,0,1.242112108,0,0.779629951,0,1.006945951,0.911791133,3.250737493,1,0.779629951,0,0,0,0,4.079827607,7.478456561,0,,14.39064584
,0.652468785,1.7784787,0.824936129,0.956818576,0,1.035632952,0.761552821,0,1,0.956818576,0.814739143,0,1.666558703,1.549057502,0,0,1.140352884,,
-1,0.689508498,2.505920497,0,0.873821051,0,1.015740239,1.226339166,0,1,0.873821051,0,0,0,0,2.743639526,0,0,,4.838776111
-1,0.896578558,0.603423548,0,0.856691166,0.158581724,1.012806791,0.802850789,1.184416973,1,0.856691166,0,0,0,0,2.477497837,1.816533613,0,,3.495519651
1,1.417312279,1.073129114,0,1.002329296,1.551120539,1.015459332,0.738512454,0.351061412,1,1.002329296,0.276531378,0,1.131296511,1.051534125,0,0,2.322289464,,-3.108218035
1,0.205061618,0.931584081,0,1.002381366,0,1.038856211,0.569869458,0,1,1.002381366,1.280304368,0,0,0,0,0,0,,-7.195322919
1,0.549208508,0.831675063,0,0.944595129,0.87426794,0.997079978,1.373633164,2.176580756,1,0.944595129,1.714494545,0,0,0,2.731710659,5.007314393,0,,-19.27095182
1,0.298624011,2.034949623,2.831695648,0.82447864,0,1.03524357,0.9128689,0,1,0.82447864,1.864462153,0,0,0,0,0,0,,-5.239147657
,0.616614852,2.667855852,0,0.916998501,0.560897144,1.01588656,1.003669668,0.349102911,1,0.916998501,0.824965994,1.828486273,0,0,0,0,0.769777958,,
1,0.515057928,0.97495038,0,0.839234687,5.841820945,0.933966911,0.626217407,2.806701995,1,0.839234687,0.602956797,0,0,0,1.921386702,1.173988084,0,,-2.259082017
,2.549017066,0.857781456,0,1.076798318,0,0.969613969,1.023209556,4.489807838,1,1.076798318,0.88415638,0,0,0,0,0,4.950051981,,
1,1.088947904,0,0,1.232173773,0,1.035555149,0.453930499,0,1,1.232173773,1.69971442,0,0,0,0,0,0,,-19.10482292
1,1.132896474,1.715562911,0,1.025522208,0.901711328,0.994099171,0.944501129,3.367355879,1,1.025522208,0,0,0,0,1.408729712,2.582247333,0,,-9.937934793
1,1.184230845,2.391065807,0,0.964792064,0,1.037437977,0.767899095,0,1,0.964792064,0,0,0,0,0,0,3.449567474,,-13.85099662
,1.565925085,0.790434978,0,1.086756901,0.830915811,1.037889233,0.580230721,0,1,1.086756901,0,0,0,0,0,0,0,,
0,0.585709228,0.443474338,0,0.972027038,0.776976917,1.046467983,0.515436796,0,1,0.972027038,0,0,0,0,0.971087251,0,0,,0
1,0.483359529,2.195876762,0,1.020943983,34.36854326,0.576663967,0.671631861,2.234882027,1,1.020943983,0,0,2.057689827,0,0.801394709,1.468982539,0,,-5.653468007
1,1.0186932,0,0,1.129625117,8.918943099,0.946728205,0.778515211,0,1,1.129625117,1.590055425,0,0,0,0,0,2.225527403,,-8.936126851
1,0.858138294,1.559390744,0,1.040918974,0.273208731,1.026754977,0.667738343,0,1,1.040918974,4.822015908,0,0,0,0,0,0,,-6.022172443
1,0.427713172,1.295385539,0,1.006655377,0,1.057528554,0.594310812,0,1,1.006655377,0.890143895,0,1.820800027,1.692423997,0,0,0,,-5.002617289
1,2.577917487,1.394207468,0,1.000108392,0.293121904,0.990158695,1.228126832,0,1,1.000108392,2.874152663,0,0,0,0.915879667,0,3.218255369,,-6.461106294
1,0.605357621,1.527837577,0,1.041167155,0,1.015283172,0.953302391,0.799702195,1,1.041167155,1.889778332,0,2.57704285,2.395347702,0,0,0,,-7.080381658
1,0,0,0,1.293195712,0,1.092039976,0,0,1,1.293195712,0,0,0,0,0,0,0,,-26.3828507
1,0.604392138,1.601670876,0,0.998473446,0,1.045014331,0.587865336,0.598820065,1,0.998473446,0.471691083,0,0,0,0,0,0,,-5.301816887
1,0,0,0,1.246075221,0,1.078039463,0.450050752,0,1,1.246075221,2.527780419,0,0,0,0,0,0,,-28.41230076
1,0.524866857,1.589628237,0,1.076940357,3.063570483,0.983138482,0.923788385,1.386741202,1,1.076940357,0.546168622,0,0,0,0.870212537,1.595127854,0,,-6.13894587
-1,0.556875636,1.194654481,0,0.877966817,0,1.059142372,0.580337303,0,1,0.877966817,0.724345601,0,0.592663051,0.550877172,0,0,0,,1.628331711
1,1.955386329,1.184428883,0,1.008932878,0,1.010897686,1.141150358,0.774943613,1,1.008932878,0.610423754,0,0,0,0,0,5.126292221,,-6.861174795
1,1.715429044,2.597701124,0,0.91758916,0,0.984184176,1.170131954,0,1,0.91758916,0,0,0,0,0.775670928,0,1.362792089,,-5.471998664
1,0.469234609,1.2790248,0,0.866512932,0.896351974,1.027134182,0.808486417,0.371926875,1,0.866512932,0,1.948030695,2.397071061,2.228064876,0.466785625,0.855633217,0,,-3.292956105
1,0.619205671,0.234418216,0,1.008932878,0.492847123,1.014419487,0.6022738,1.533742567,1,1.008932878,0.966504278,0,1.976996108,1.837607428,0.769967465,1.41137538,0,,-5.43176338
1,1.721891451,0.83439592,0,0.97885927,0.328923053,1.015823445,1.071876599,0.409444035,1,0.97885927,0.215012947,0,5.277738793,4.9056303,0.342580944,0,4.213212182,,-2.416749683
,3.398689422,0.214445364,0,0.910150959,0.676283496,0.99165065,1.416751693,0,1,0.910150959,0.44207819,0,5.425657481,5.043119938,0.704364856,0,2.47502599,,
,0.309982716,1.056176307,0,0.862854252,0,1.049162332,0.581476615,0,1,0.862854252,0.483845086,0,2.969132805,2.759793242,0,0,0,,
1,0,0,17.74529273,1.206982665,1.117120146,0.946434645,2.145241916,0,1,1.206982665,0,14.56694064,0,0,0,0,0,,-24.62399399
1,0.309602835,0,0,0.924855138,0.985694246,1.017096056,1.032469371,0,1,0.924855138,0.966504278,6.426591459,0,0,1.53993493,0,0,,-10.86352676
1,1.611198429,1.951890455,0,0.991774155,0,1.019608753,0.985060063,0,1,0.991774155,0,0,4.115379654,3.825223626,0,0,2.815973448,,-11.30693601
0,0.597719039,1.508558869,0,0.919815778,0.634326897,0.961132975,1.550332558,2.763639604,1,0.919815778,0.621977516,6.89287412,2.544524959,2.365122495,0,0,0,,0
,0.59881267,1.861308712,0,0.818792999,0.752550996,1.013025107,0.919639635,0.874325104,1,0.818792999,0.491933315,0.654203921,0.805004403,0.748247336,1.724358275,0.574691772,0.550829138,,
1,0.925406277,1.051017937,0,0.963352272,0,1.048038365,0.514343716,0,1,0.963352272,0,0,0,0,0,0,0,,-8.117800216
1,0.600696806,0.259898457,1.627455515,0.924398194,1.502648022,0.955534979,1.311628889,3.570952803,1,0.924398194,1.339448863,1.781283502,5.479717474,5.093368416,3.414638323,4.694357244,0.749905973,,-3.011086221
,0.806775272,0.349060702,0.728593223,0.980702396,0.366937274,1.04022786,0.608554027,0,1,0.980702396,0.719587127,0,1.47192411,1.368145677,0,0,0,,
-1,4.406440355,2.224247263,0,1.329601467,0,0.990454862,1.224556696,0,1,1.329601467,0,0,0,0,0,0,0,,51.53859207
1,0.29376269,1.334548358,0,1.023793129,1.169079222,1.028549279,0.571459792,0.87316321,1,1.023793129,0.458527611,0,0,0,0.730573781,0,0,,-5.153859207
,0.77495679,0.586764615,0,0.876884403,0,1.041792737,0.538404273,0,1,0.876884403,1.209612716,0,0,0,0,0,0,,
1,0.744506622,0,0,1.044612233,1.382683088,1.038403435,0.413799119,0,1,1.044612233,0.774722486,0,0,0,0,0,0,,-4.353947856
1,0,1.310173045,16.40831862,1.096465867,0,1.002283265,1.442628437,0,1,1.096465867,2.700916064,0,0,0,0,0,0,,-30.35834875
,0.438604017,0.730603441,0,0.841711595,0.279280036,1.037437977,0.621632601,0.782208709,1,0.841711595,0.821528636,0.91043379,2.800744487,2.60327719,0.436314897,0,0.383285275,,
-1,0.52632482,2.789576775,0,0.881414972,0,1.041988143,0.877598966,0,1,0.881414972,0,0,0,0,0,0,0,,9.233997746
1,0.586615899,0,1.236127202,1.026633455,0.311271867,1.024421401,0.815107398,0,1,1.026633455,1.831271263,4.058899869,0,0,0,0,0,,-6.861174795
,0.895872034,0.678316541,0,0.932606986,0,1.053315154,0.560169553,0,1,0.932606986,0,0,0,0,1.113995481,0,0,,
1,0.367916379,1.671424642,0,0.788208403,0.585674639,1.002980405,1.226934476,1.458097788,1,0.788208403,1.914241482,2.545678947,0,0,1.829980927,3.354414497,0,,-4.30322225
1,1.162435186,1.173529231,0,1.403015045,0,0.998245131,1.076808547,1.53562446,1,1.403015045,0,0,0,0,1.927280526,0,0,,-13.5960703
1,5.297204642,1.851147722,2.575929589,0.922142953,0,0.944086172,2.151532948,0,1,0.922142953,0,0,5.203963949,4.837056973,0,0,3.560843844,,-14.29780296
1,0.933383918,0.942291944,0,1.042066962,0,1.024796135,0.734935094,0,1,1.042066962,3.885061531,0,0,0,0,0,0,,-5.458520835
1,1.025308091,1.552640135,0,1.039506601,0.652862423,0.982126861,1.424673646,0.812684373,1,1.039506601,1.280304368,4.256573563,2.618877961,2.434233217,1.019956902,1.86961414,0,,-7.195322919
1,1.263179568,0.956426323,0,1.000525104,0,1.037437977,0.702079173,0,1,1.000525104,1.971668727,0,0,0,0,0,2.759653979,,-11.08079729
1,0.708324992,0.893856377,0.746297358,0.929726932,3.194754809,0.996103753,0.656148759,0,1,0.929726932,0.737072421,0,1.50769049,1.401390338,0,0,0,,-4.142354129
1,0.73611863,0.668829596,0,0.93289054,0.468721739,1.033492378,0.654619275,0,1,0.93289054,0.91919288,0,0,0,0.73227675,0,0,,-5.165872865
1,1.088947904,0,27.53579906,0.591443411,1.733462295,0.809615844,2.723582997,4.315634258,1,0.591443411,3.399428839,0,0,0,5.416322858,9.92829578,0,,-38.20964584
1,0.394250802,1.194040353,0.249231639,0.902917251,0.188278676,1.021145995,0.865547045,1.093725037,1,0.902917251,0.369226353,0.818367452,1.51051388,1.404014664,0.980482914,0.718902816,0,,-1.383370449
-1,1.134070055,1.321030833,0,0.837061255,0.694342632,1.013606165,0.896993418,0,1,0.837061255,1.633979608,0,0,0,0,0,0,,3.060993728
1,0,0,36.29718967,1.039506601,0,0.893487253,1.595634483,0,1,1.039506601,0,0,0,0,0,0,0,,-201.4690417
-1,0.615184855,0.931584081,0,0.971443669,0,1.047129241,0.512882512,0.270894791,1,0.971443669,0.426768123,0,0,0,1.019956902,0,0,,2.398440973
0,1.20302816,1.821764425,0,0.998256339,0.957531553,1.012303723,0.835808539,0,1,0.998256339,1.25185316,0,0,0,0,0,1.752161257,,0
-1,0.634763602,1.441848728,0,0.976822786,0,1.037163595,0.705607209,0,1,0.976822786,1.321051073,0,1.351112918,1.255852313,0,0,0,,3.712159898
-1,1.435431328,0,0,1.169444926,0,1.067220885,0.398908621,0,1,1.169444926,0,0,0,0,0,0,0,,50.36726043
1,0.619205671,0,3.914402807,1.177088357,0,1.02780233,0.516234686,0,1,1.177088357,1.933008556,0,0,0,0,0,0,,-21.72705352
1,0.634763602,0.480616243,0,1.03428295,1.010460433,0.9658243,1.67581712,0,1,1.03428295,0.990788305,10.98010601,4.053338754,3.767556939,0,0,0,,-11.13647969
1,0.516137888,0.740459089,0,0.750009602,0.90811057,0.987298077,1.026696424,2.583811995,1,0.750009602,0.084802956,0.563881573,0,0,4.18862301,4.705798688,0,,-0.953186864
1,3.287084379,1.422195276,0,0.977677212,0.37375767,0.974310759,1.565975849,0.930508502,1,0.977677212,0.732962352,0,2.998566588,2.787151787,1.167831694,2.14067344,6.155362035,,-8.238511
1,1.662078379,0,0,0.977956868,3.968716307,0.833398929,2.078523866,3.293510355,1,0.977956868,2.594300956,0,10.61334753,9.865050405,8.267019099,7.576857306,0,,-29.15999288
